alpos,logp,up99,lo99,up95,lo95
97,-2.703335,-2,2,-1.30103,1.30103
99,-2.703335,-2,2,-1.30103,1.30103
101,-2.703335,-2,2,-1.30103,1.30103
103,-2.703335,-2,2,-1.30103,1.30103
105,-2.703335,-2,2,-1.30103,1.30103
107,-2.703335,-2,2,-1.30103,1.30103
109,-2.703335,-2,2,-1.30103,1.30103
111,-2.703335,-2,2,-1.30103,1.30103
113,-2.703335,-2,2,-1.30103,1.30103
115,-2.703335,-2,2,-1.30103,1.30103
117,-2.703335,-2,2,-1.30103,1.30103
119,-2.703335,-2,2,-1.30103,1.30103
121,-2.703335,-2,2,-1.30103,1.30103
123,-2.703335,-2,2,-1.30103,1.30103
125,-2.703335,-2,2,-1.30103,1.30103
127,-2.703335,-2,2,-1.30103,1.30103
129,-2.703335,-2,2,-1.30103,1.30103
131,-2.703335,-2,2,-1.30103,1.30103
133,-2.703335,-2,2,-1.30103,1.30103
135,-2.703335,-2,2,-1.30103,1.30103
137,-2.703335,-2,2,-1.30103,1.30103
139,-2.703335,-2,2,-1.30103,1.30103
141,-2.703335,-2,2,-1.30103,1.30103
143,-2.703335,-2,2,-1.30103,1.30103
145,-2.703335,-2,2,-1.30103,1.30103
147,-2.703335,-2,2,-1.30103,1.30103
149,-2.703335,-2,2,-1.30103,1.30103
151,-2.703335,-2,2,-1.30103,1.30103
153,-2.703335,-2,2,-1.30103,1.30103
155,-2.703335,-2,2,-1.30103,1.30103
157,-2.703335,-2,2,-1.30103,1.30103
159,-2.703335,-2,2,-1.30103,1.30103
161,-2.703335,-2,2,-1.30103,1.30103
163,-2.703335,-2,2,-1.30103,1.30103
165,-2.703335,-2,2,-1.30103,1.30103
167,-2.703335,-2,2,-1.30103,1.30103
169,-2.703335,-2,2,-1.30103,1.30103
171,-2.703335,-2,2,-1.30103,1.30103
173,-2.703335,-2,2,-1.30103,1.30103
175,-2.69897,-2,2,-1.30103,1.30103
177,-2.69897,-2,2,-1.30103,1.30103
179,-2.69897,-2,2,-1.30103,1.30103
181,-2.69897,-2,2,-1.30103,1.30103
183,-2.39794,-2,2,-1.30103,1.30103
185,-2.39794,-2,2,-1.30103,1.30103
187,-2.39794,-2,2,-1.30103,1.30103
189,-2.39794,-2,2,-1.30103,1.30103
191,-2.221849,-2,2,-1.30103,1.30103
193,-2,-2,2,-1.30103,1.30103
195,-2.39794,-2,2,-1.30103,1.30103
197,-2.39794,-2,2,-1.30103,1.30103
199,-2.39794,-2,2,-1.30103,1.30103
201,-2.39794,-2,2,-1.30103,1.30103
203,-2.39794,-2,2,-1.30103,1.30103
205,-2.39794,-2,2,-1.30103,1.30103
207,-2.39794,-2,2,-1.30103,1.30103
209,-2.39794,-2,2,-1.30103,1.30103
211,-2.39794,-2,2,-1.30103,1.30103
213,-2.39794,-2,2,-1.30103,1.30103
215,-2.39794,-2,2,-1.30103,1.30103
217,-2.39794,-2,2,-1.30103,1.30103
219,-2.39794,-2,2,-1.30103,1.30103
221,-2.39794,-2,2,-1.30103,1.30103
223,-2.39794,-2,2,-1.30103,1.30103
225,-2.39794,-2,2,-1.30103,1.30103
227,-2.39794,-2,2,-1.30103,1.30103
229,-2.39794,-2,2,-1.30103,1.30103
231,-2.221849,-2,2,-1.30103,1.30103
233,-0.5751184,-2,2,-1.30103,1.30103
235,-0.3045183,-2,2,-1.30103,1.30103
237,-0.3045183,-2,2,-1.30103,1.30103
239,-0.3448616,-2,2,-1.30103,1.30103
241,-0.3372422,-2,2,-1.30103,1.30103
243,-0.3372422,-2,2,-1.30103,1.30103
245,0.3851028,-2,2,-1.30103,1.30103
247,0.3297541,-2,2,-1.30103,1.30103
249,0.4867824,-2,2,-1.30103,1.30103
251,0.3645163,-2,2,-1.30103,1.30103
253,0.3645163,-2,2,-1.30103,1.30103
255,0.4045038,-2,2,-1.30103,1.30103
257,-0.3151546,-2,2,-1.30103,1.30103
259,-0.3297541,-2,2,-1.30103,1.30103
261,-0.4762535,-2,2,-1.30103,1.30103
263,-0.4762535,-2,2,-1.30103,1.30103
265,-0.4294571,-2,2,-1.30103,1.30103
267,-0.391474,-2,2,-1.30103,1.30103
269,-0.391474,-2,2,-1.30103,1.30103
271,-0.3297541,-2,2,-1.30103,1.30103
273,-0.3726341,-2,2,-1.30103,1.30103
275,0.3809067,-2,2,-1.30103,1.30103
277,0.4089354,-2,2,-1.30103,1.30103
279,0.4294571,-2,2,-1.30103,1.30103
281,0.4788619,-2,2,-1.30103,1.30103
283,0.3851028,-2,2,-1.30103,1.30103
285,-0.3391345,-2,2,-1.30103,1.30103
287,-0.326058,-2,2,-1.30103,1.30103
289,-0.391474,-2,2,-1.30103,1.30103
291,-0.4225082,-2,2,-1.30103,1.30103
293,-0.3605135,-2,2,-1.30103,1.30103
295,-0.5114493,-2,2,-1.30103,1.30103
297,-0.537602,-2,2,-1.30103,1.30103
299,-0.537602,-2,2,-1.30103,1.30103
301,-0.5466816,-2,2,-1.30103,1.30103
303,-0.5559552,-2,2,-1.30103,1.30103
305,-0.5622494,-2,2,-1.30103,1.30103
307,-0.5816987,-2,2,-1.30103,1.30103
309,-0.4365189,-2,2,-1.30103,1.30103
311,-0.4365189,-2,2,-1.30103,1.30103
313,-0.4634416,-2,2,-1.30103,1.30103
315,-0.489455,-2,2,-1.30103,1.30103
317,-0.489455,-2,2,-1.30103,1.30103
319,-0.5003129,-2,2,-1.30103,1.30103
321,-0.5228788,-2,2,-1.30103,1.30103
323,-0.5751184,-2,2,-1.30103,1.30103
325,-0.5497509,-2,2,-1.30103,1.30103
327,-0.5257837,-2,2,-1.30103,1.30103
329,-0.49485,-2,2,-1.30103,1.30103
331,-0.49485,-2,2,-1.30103,1.30103
333,-0.49485,-2,2,-1.30103,1.30103
335,-0.4975729,-2,2,-1.30103,1.30103
337,-0.5114493,-2,2,-1.30103,1.30103
339,-0.3788237,-2,2,-1.30103,1.30103
341,-0.489455,-2,2,-1.30103,1.30103
343,-1.142668,-2,2,-1.30103,1.30103
345,-1.142668,-2,2,-1.30103,1.30103
347,-0.935542,-2,2,-1.30103,1.30103
349,-0.935542,-2,2,-1.30103,1.30103
351,-0.935542,-2,2,-1.30103,1.30103
353,-0.950782,-2,2,-1.30103,1.30103
355,-0.928118,-2,2,-1.30103,1.30103
357,-0.928118,-2,2,-1.30103,1.30103
359,-0.928118,-2,2,-1.30103,1.30103
361,-0.9136401,-2,2,-1.30103,1.30103
363,-0.935542,-2,2,-1.30103,1.30103
365,-0.935542,-2,2,-1.30103,1.30103
367,-0.935542,-2,2,-1.30103,1.30103
369,-0.9136401,-2,2,-1.30103,1.30103
371,-0.9136401,-2,2,-1.30103,1.30103
373,-0.9136401,-2,2,-1.30103,1.30103
375,-0.9586073,-2,2,-1.30103,1.30103
377,-1,-2,2,-1.30103,1.30103
379,-1.130768,-2,2,-1.30103,1.30103
381,-1.130768,-2,2,-1.30103,1.30103
383,-1.154902,-2,2,-1.30103,1.30103
385,-1.142668,-2,2,-1.30103,1.30103
387,-1.09691,-2,2,-1.30103,1.30103
389,-1.075721,-2,2,-1.30103,1.30103
391,-1.142668,-2,2,-1.30103,1.30103
393,-1.207608,-2,2,-1.30103,1.30103
395,-1,-2,2,-1.30103,1.30103
397,-1,-2,2,-1.30103,1.30103
399,-1,-2,2,-1.30103,1.30103
401,-1,-2,2,-1.30103,1.30103
403,-1.008774,-2,2,-1.30103,1.30103
405,-1.008774,-2,2,-1.30103,1.30103
407,-1.017729,-2,2,-1.30103,1.30103
409,-1.065502,-2,2,-1.30103,1.30103
411,-1.065502,-2,2,-1.30103,1.30103
413,-1.065502,-2,2,-1.30103,1.30103
415,-1.065502,-2,2,-1.30103,1.30103
417,-1.086186,-2,2,-1.30103,1.30103
419,-1.142668,-2,2,-1.30103,1.30103
421,-1.142668,-2,2,-1.30103,1.30103
423,-1.142668,-2,2,-1.30103,1.30103
425,-1.267606,-2,2,-1.30103,1.30103
427,-1.236572,-2,2,-1.30103,1.30103
429,-1.236572,-2,2,-1.30103,1.30103
431,-1.236572,-2,2,-1.30103,1.30103
433,-1.376751,-2,2,-1.30103,1.30103
435,-1.443697,-2,2,-1.30103,1.30103
437,-1.376751,-2,2,-1.30103,1.30103
439,-1.420216,-2,2,-1.30103,1.30103
441,-1.49485,-2,2,-1.30103,1.30103
443,-1.49485,-2,2,-1.30103,1.30103
445,-1.443697,-2,2,-1.30103,1.30103
447,-1.468521,-2,2,-1.30103,1.30103
449,-1.522879,-2,2,-1.30103,1.30103
451,-1.267606,-2,2,-1.30103,1.30103
453,-1.267606,-2,2,-1.30103,1.30103
455,-1.356547,-2,2,-1.30103,1.30103
457,-1.142668,-2,2,-1.30103,1.30103
459,-1.920819,-2,2,-1.30103,1.30103
461,-1.657577,-2,2,-1.30103,1.30103
463,-1.468521,-2,2,-1.30103,1.30103
465,-2.221849,-2,2,-1.30103,1.30103
467,-2.39794,-2,2,-1.30103,1.30103
469,-2.703335,-2,2,-1.30103,1.30103
471,-2.703335,-2,2,-1.30103,1.30103
473,-2.69897,-2,2,-1.30103,1.30103
475,-2.69897,-2,2,-1.30103,1.30103
477,-2.69897,-2,2,-1.30103,1.30103
479,-2.69897,-2,2,-1.30103,1.30103
481,-2.69897,-2,2,-1.30103,1.30103
483,-2.69897,-2,2,-1.30103,1.30103
485,-2.221849,-2,2,-1.30103,1.30103
487,-2.221849,-2,2,-1.30103,1.30103
489,-1.853872,-2,2,-1.30103,1.30103
491,-1.853872,-2,2,-1.30103,1.30103
493,-2.221849,-2,2,-1.30103,1.30103
495,-1.79588,-2,2,-1.30103,1.30103
497,-1.79588,-2,2,-1.30103,1.30103
499,-1.79588,-2,2,-1.30103,1.30103
501,-1.79588,-2,2,-1.30103,1.30103
503,-1.79588,-2,2,-1.30103,1.30103
505,-1.79588,-2,2,-1.30103,1.30103
507,-1.79588,-2,2,-1.30103,1.30103
509,-1.79588,-2,2,-1.30103,1.30103
511,-1.79588,-2,2,-1.30103,1.30103
513,-1.79588,-2,2,-1.30103,1.30103
515,-1.79588,-2,2,-1.30103,1.30103
517,-1.79588,-2,2,-1.30103,1.30103
519,-1.79588,-2,2,-1.30103,1.30103
521,-1.853872,-2,2,-1.30103,1.30103
523,-2,-2,2,-1.30103,1.30103
525,-2,-2,2,-1.30103,1.30103
527,-2.221849,-2,2,-1.30103,1.30103
529,-2.39794,-2,2,-1.30103,1.30103
531,-2.39794,-2,2,-1.30103,1.30103
533,-2.39794,-2,2,-1.30103,1.30103
535,-2.39794,-2,2,-1.30103,1.30103
537,-2.39794,-2,2,-1.30103,1.30103
539,-2.39794,-2,2,-1.30103,1.30103
541,-2.09691,-2,2,-1.30103,1.30103
543,-0.9208187,-2,2,-1.30103,1.30103
545,-0.9208187,-2,2,-1.30103,1.30103
547,-0.9208187,-2,2,-1.30103,1.30103
549,-0.9208187,-2,2,-1.30103,1.30103
551,-0.9208187,-2,2,-1.30103,1.30103
553,-0.928118,-2,2,-1.30103,1.30103
555,-0.9746941,-2,2,-1.30103,1.30103
557,-0.9746941,-2,2,-1.30103,1.30103
559,-0.9746941,-2,2,-1.30103,1.30103
561,-0.9746941,-2,2,-1.30103,1.30103
563,-1,-2,2,-1.30103,1.30103
565,-1,-2,2,-1.30103,1.30103
567,-1,-2,2,-1.30103,1.30103
569,-1.055517,-2,2,-1.30103,1.30103
571,-1.055517,-2,2,-1.30103,1.30103
573,-1.055517,-2,2,-1.30103,1.30103
575,-1.055517,-2,2,-1.30103,1.30103
577,-1.142668,-2,2,-1.30103,1.30103
579,-1.236572,-2,2,-1.30103,1.30103
581,-1.236572,-2,2,-1.30103,1.30103
583,-1.236572,-2,2,-1.30103,1.30103
585,-1.657577,-2,2,-1.30103,1.30103
587,-1.657577,-2,2,-1.30103,1.30103
589,-1.585027,-2,2,-1.30103,1.30103
591,-1.39794,-2,2,-1.30103,1.30103
593,-1.236572,-2,2,-1.30103,1.30103
595,-1.154902,-2,2,-1.30103,1.30103
597,-1.142668,-2,2,-1.30103,1.30103
599,-1.130768,-2,2,-1.30103,1.30103
601,-1.39794,-2,2,-1.30103,1.30103
603,-1.356547,-2,2,-1.30103,1.30103
605,-1.318759,-2,2,-1.30103,1.30103
607,-1.318759,-2,2,-1.30103,1.30103
609,-1.318759,-2,2,-1.30103,1.30103
611,-1.318759,-2,2,-1.30103,1.30103
613,-1.318759,-2,2,-1.30103,1.30103
615,-1.69897,-2,2,-1.30103,1.30103
617,-1.619789,-2,2,-1.30103,1.30103
619,-1.619789,-2,2,-1.30103,1.30103
621,-1.79588,-2,2,-1.30103,1.30103
623,-1.79588,-2,2,-1.30103,1.30103
625,-1.79588,-2,2,-1.30103,1.30103
627,-1.853872,-2,2,-1.30103,1.30103
629,-2.69897,-2,2,-1.30103,1.30103
631,-2.69897,-2,2,-1.30103,1.30103
633,-2.221849,-2,2,-1.30103,1.30103
635,-2.221849,-2,2,-1.30103,1.30103
637,-2.39794,-2,2,-1.30103,1.30103
639,-2.39794,-2,2,-1.30103,1.30103
641,-2.703335,-2,2,-1.30103,1.30103
643,-2.703335,-2,2,-1.30103,1.30103
645,-2.703335,-2,2,-1.30103,1.30103
647,-2.703335,-2,2,-1.30103,1.30103
649,-2.703335,-2,2,-1.30103,1.30103
651,-2.703335,-2,2,-1.30103,1.30103
653,-2.703335,-2,2,-1.30103,1.30103
655,-2.703335,-2,2,-1.30103,1.30103
657,-2.69897,-2,2,-1.30103,1.30103
659,-1.552842,-2,2,-1.30103,1.30103
661,-1.552842,-2,2,-1.30103,1.30103
663,-1.468521,-2,2,-1.30103,1.30103
665,-0.9136401,-2,2,-1.30103,1.30103
667,-0.8794261,-2,2,-1.30103,1.30103
669,-0.8860567,-2,2,-1.30103,1.30103
671,-0.8664611,-2,2,-1.30103,1.30103
673,-0.9208187,-2,2,-1.30103,1.30103
675,-0.8477117,-2,2,-1.30103,1.30103
677,-0.74958,-2,2,-1.30103,1.30103
679,-0.8860567,-2,2,-1.30103,1.30103
681,-0.8124793,-2,2,-1.30103,1.30103
683,-0.8124793,-2,2,-1.30103,1.30103
685,-0.7212464,-2,2,-1.30103,1.30103
687,-0.623423,-2,2,-1.30103,1.30103
689,-0.5497509,-2,2,-1.30103,1.30103
691,-0.5171264,-2,2,-1.30103,1.30103
693,-0.5171264,-2,2,-1.30103,1.30103
695,-0.5171264,-2,2,-1.30103,1.30103
697,-0.4921441,-2,2,-1.30103,1.30103
699,-0.5883803,-2,2,-1.30103,1.30103
701,-0.5287083,-2,2,-1.30103,1.30103
703,-0.6777807,-2,2,-1.30103,1.30103
705,-0.6420652,-2,2,-1.30103,1.30103
707,-0.5816987,-2,2,-1.30103,1.30103
709,-0.5622494,-2,2,-1.30103,1.30103
711,-0.5287083,-2,2,-1.30103,1.30103
713,-0.5058454,-2,2,-1.30103,1.30103
715,-0.4841262,-2,2,-1.30103,1.30103
717,-0.446117,-2,2,-1.30103,1.30103
719,-0.4111683,-2,2,-1.30103,1.30103
721,-0.3372422,-2,2,-1.30103,1.30103
723,-0.446117,-2,2,-1.30103,1.30103
725,-0.3645163,-2,2,-1.30103,1.30103
727,-0.4710833,-2,2,-1.30103,1.30103
729,-0.4294571,-2,2,-1.30103,1.30103
731,-0.4388986,-2,2,-1.30103,1.30103
733,-0.3467875,-2,2,-1.30103,1.30103
735,-0.3429441,-2,2,-1.30103,1.30103
737,-0.3205721,-2,2,-1.30103,1.30103
739,0.3187588,-2,2,-1.30103,1.30103
741,0.335358,-2,2,-1.30103,1.30103
743,0.3545777,-2,2,-1.30103,1.30103
745,0.3851028,-2,2,-1.30103,1.30103
747,0.4023048,-2,2,-1.30103,1.30103
749,0.4388986,-2,2,-1.30103,1.30103
751,0.4788619,-2,2,-1.30103,1.30103
753,0.5466816,-2,2,-1.30103,1.30103
755,0.4685211,-2,2,-1.30103,1.30103
757,0.489455,-2,2,-1.30103,1.30103
759,0.5406075,-2,2,-1.30103,1.30103
761,0.5751184,-2,2,-1.30103,1.30103
763,0.6126102,-2,2,-1.30103,1.30103
765,0.5436339,-2,2,-1.30103,1.30103
767,0.59176,-2,2,-1.30103,1.30103
769,0.4841262,-2,2,-1.30103,1.30103
771,0.5287083,-2,2,-1.30103,1.30103
773,0.5850267,-2,2,-1.30103,1.30103
775,0.634512,-2,2,-1.30103,1.30103
777,0.7077439,-2,2,-1.30103,1.30103
779,0.7851561,-2,2,-1.30103,1.30103
781,0.7851561,-2,2,-1.30103,1.30103
783,0.7851561,-2,2,-1.30103,1.30103
785,0.9136401,-2,2,-1.30103,1.30103
787,0.9065783,-2,2,-1.30103,1.30103
789,0.9065783,-2,2,-1.30103,1.30103
791,0.9208187,-2,2,-1.30103,1.30103
793,0.950782,-2,2,-1.30103,1.30103
795,0.9829667,-2,2,-1.30103,1.30103
797,1.036212,-2,2,-1.30103,1.30103
799,0.9065783,-2,2,-1.30103,1.30103
801,1.180456,-2,2,-1.30103,1.30103
803,1.19382,-2,2,-1.30103,1.30103
805,1.180456,-2,2,-1.30103,1.30103
807,1.251812,-2,2,-1.30103,1.30103
809,1.283997,-2,2,-1.30103,1.30103
811,1.376751,-2,2,-1.30103,1.30103
813,1.443697,-2,2,-1.30103,1.30103
815,1.744727,-2,2,-1.30103,1.30103
817,1.79588,-2,2,-1.30103,1.30103
819,1.920819,-2,2,-1.30103,1.30103
821,1.920819,-2,2,-1.30103,1.30103
823,2.09691,-2,2,-1.30103,1.30103
825,2.09691,-2,2,-1.30103,1.30103
827,2.09691,-2,2,-1.30103,1.30103
829,2.69897,-2,2,-1.30103,1.30103
831,2.703335,-2,2,-1.30103,1.30103
833,2.703335,-2,2,-1.30103,1.30103
835,2.703335,-2,2,-1.30103,1.30103
837,2.703335,-2,2,-1.30103,1.30103
839,2.703335,-2,2,-1.30103,1.30103
841,2.703335,-2,2,-1.30103,1.30103
843,2.703335,-2,2,-1.30103,1.30103
845,2.703335,-2,2,-1.30103,1.30103
847,2.703335,-2,2,-1.30103,1.30103
849,2.703335,-2,2,-1.30103,1.30103
851,2.703335,-2,2,-1.30103,1.30103
853,2.703335,-2,2,-1.30103,1.30103
855,2.703335,-2,2,-1.30103,1.30103
857,2.703335,-2,2,-1.30103,1.30103
859,2.703335,-2,2,-1.30103,1.30103
861,2.703335,-2,2,-1.30103,1.30103
863,2.703335,-2,2,-1.30103,1.30103
865,2.703335,-2,2,-1.30103,1.30103
867,2.703335,-2,2,-1.30103,1.30103
869,2.703335,-2,2,-1.30103,1.30103
871,2.703335,-2,2,-1.30103,1.30103
873,2.703335,-2,2,-1.30103,1.30103
875,2.703335,-2,2,-1.30103,1.30103
877,2.703335,-2,2,-1.30103,1.30103
879,2.703335,-2,2,-1.30103,1.30103
881,2.703335,-2,2,-1.30103,1.30103
883,2.703335,-2,2,-1.30103,1.30103
885,2.703335,-2,2,-1.30103,1.30103
887,2.703335,-2,2,-1.30103,1.30103
889,2.703335,-2,2,-1.30103,1.30103
891,2.703335,-2,2,-1.30103,1.30103
893,2.703335,-2,2,-1.30103,1.30103
895,2.703335,-2,2,-1.30103,1.30103
897,2.703335,-2,2,-1.30103,1.30103
899,2.703335,-2,2,-1.30103,1.30103
901,2.703335,-2,2,-1.30103,1.30103
903,2.703335,-2,2,-1.30103,1.30103
905,2.703335,-2,2,-1.30103,1.30103
907,2.703335,-2,2,-1.30103,1.30103
909,2.703335,-2,2,-1.30103,1.30103
911,2.703335,-2,2,-1.30103,1.30103
913,2.703335,-2,2,-1.30103,1.30103
915,2.703335,-2,2,-1.30103,1.30103
917,2.703335,-2,2,-1.30103,1.30103
919,2.703335,-2,2,-1.30103,1.30103
921,2.703335,-2,2,-1.30103,1.30103
923,2.703335,-2,2,-1.30103,1.30103
925,2.703335,-2,2,-1.30103,1.30103
927,2.703335,-2,2,-1.30103,1.30103
929,2.703335,-2,2,-1.30103,1.30103
931,2.703335,-2,2,-1.30103,1.30103
933,2.703335,-2,2,-1.30103,1.30103
935,2.703335,-2,2,-1.30103,1.30103
937,2.703335,-2,2,-1.30103,1.30103
939,2.703335,-2,2,-1.30103,1.30103
941,2.703335,-2,2,-1.30103,1.30103
943,2.703335,-2,2,-1.30103,1.30103
945,2.703335,-2,2,-1.30103,1.30103
947,2.703335,-2,2,-1.30103,1.30103
949,2.703335,-2,2,-1.30103,1.30103
951,2.703335,-2,2,-1.30103,1.30103
953,2.703335,-2,2,-1.30103,1.30103
955,2.703335,-2,2,-1.30103,1.30103
957,2.703335,-2,2,-1.30103,1.30103
959,2.703335,-2,2,-1.30103,1.30103
961,2.703335,-2,2,-1.30103,1.30103
963,2.703335,-2,2,-1.30103,1.30103
965,2.703335,-2,2,-1.30103,1.30103
967,2.703335,-2,2,-1.30103,1.30103
969,2.703335,-2,2,-1.30103,1.30103
971,2.703335,-2,2,-1.30103,1.30103
973,2.703335,-2,2,-1.30103,1.30103
975,2.703335,-2,2,-1.30103,1.30103
977,2.703335,-2,2,-1.30103,1.30103
979,2.703335,-2,2,-1.30103,1.30103
981,2.703335,-2,2,-1.30103,1.30103
983,2.703335,-2,2,-1.30103,1.30103
985,2.703335,-2,2,-1.30103,1.30103
987,2.703335,-2,2,-1.30103,1.30103
989,2.703335,-2,2,-1.30103,1.30103
991,2.703335,-2,2,-1.30103,1.30103
993,2.703335,-2,2,-1.30103,1.30103
995,2.703335,-2,2,-1.30103,1.30103
997,2.703335,-2,2,-1.30103,1.30103
999,2.703335,-2,2,-1.30103,1.30103
1001,2.703335,-2,2,-1.30103,1.30103
1003,2.703335,-2,2,-1.30103,1.30103
1005,2.703335,-2,2,-1.30103,1.30103
1007,2.703335,-2,2,-1.30103,1.30103
1009,2.703335,-2,2,-1.30103,1.30103
1011,2.703335,-2,2,-1.30103,1.30103
1013,2.703335,-2,2,-1.30103,1.30103
1015,2.703335,-2,2,-1.30103,1.30103
1017,2.703335,-2,2,-1.30103,1.30103
1019,2.703335,-2,2,-1.30103,1.30103
1021,2.703335,-2,2,-1.30103,1.30103
1023,2.703335,-2,2,-1.30103,1.30103
1025,2.703335,-2,2,-1.30103,1.30103
1027,2.703335,-2,2,-1.30103,1.30103
1029,2.703335,-2,2,-1.30103,1.30103
1031,2.703335,-2,2,-1.30103,1.30103
1033,2.703335,-2,2,-1.30103,1.30103
1035,2.703335,-2,2,-1.30103,1.30103
1037,2.703335,-2,2,-1.30103,1.30103
1039,2.703335,-2,2,-1.30103,1.30103
1041,2.703335,-2,2,-1.30103,1.30103
1043,2.703335,-2,2,-1.30103,1.30103
1045,2.703335,-2,2,-1.30103,1.30103
1047,2.703335,-2,2,-1.30103,1.30103
1049,2.703335,-2,2,-1.30103,1.30103
1051,2.703335,-2,2,-1.30103,1.30103
1053,2.703335,-2,2,-1.30103,1.30103
1055,2.703335,-2,2,-1.30103,1.30103
1057,2.703335,-2,2,-1.30103,1.30103
1059,2.703335,-2,2,-1.30103,1.30103
1061,2.703335,-2,2,-1.30103,1.30103
1063,2.703335,-2,2,-1.30103,1.30103
1065,2.703335,-2,2,-1.30103,1.30103
1067,2.703335,-2,2,-1.30103,1.30103
1069,2.703335,-2,2,-1.30103,1.30103
1071,2.703335,-2,2,-1.30103,1.30103
1073,2.703335,-2,2,-1.30103,1.30103
1075,2.703335,-2,2,-1.30103,1.30103
1077,2.703335,-2,2,-1.30103,1.30103
1079,2.703335,-2,2,-1.30103,1.30103
1081,2.703335,-2,2,-1.30103,1.30103
1083,2.703335,-2,2,-1.30103,1.30103
1085,2.703335,-2,2,-1.30103,1.30103
1087,2.703335,-2,2,-1.30103,1.30103
1089,2.703335,-2,2,-1.30103,1.30103
1091,2.703335,-2,2,-1.30103,1.30103
1093,2.703335,-2,2,-1.30103,1.30103
1095,2.703335,-2,2,-1.30103,1.30103
1097,2.703335,-2,2,-1.30103,1.30103
1099,2.703335,-2,2,-1.30103,1.30103
1101,2.703335,-2,2,-1.30103,1.30103
1103,2.703335,-2,2,-1.30103,1.30103
1105,2.703335,-2,2,-1.30103,1.30103
1107,2.703335,-2,2,-1.30103,1.30103
1109,2.703335,-2,2,-1.30103,1.30103
1111,2.703335,-2,2,-1.30103,1.30103
1113,2.703335,-2,2,-1.30103,1.30103
1115,2.703335,-2,2,-1.30103,1.30103
1117,2.703335,-2,2,-1.30103,1.30103
1119,2.703335,-2,2,-1.30103,1.30103
1121,2.703335,-2,2,-1.30103,1.30103
1123,2.703335,-2,2,-1.30103,1.30103
1125,2.703335,-2,2,-1.30103,1.30103
1127,2.703335,-2,2,-1.30103,1.30103
1129,2.703335,-2,2,-1.30103,1.30103
1131,2.703335,-2,2,-1.30103,1.30103
1133,2.703335,-2,2,-1.30103,1.30103
1135,2.703335,-2,2,-1.30103,1.30103
1137,2.703335,-2,2,-1.30103,1.30103
1139,2.703335,-2,2,-1.30103,1.30103
1141,2.703335,-2,2,-1.30103,1.30103
1143,2.703335,-2,2,-1.30103,1.30103
1145,2.703335,-2,2,-1.30103,1.30103
1147,2.703335,-2,2,-1.30103,1.30103
1149,2.703335,-2,2,-1.30103,1.30103
1151,2.703335,-2,2,-1.30103,1.30103
1153,2.703335,-2,2,-1.30103,1.30103
1155,2.703335,-2,2,-1.30103,1.30103
1157,2.703335,-2,2,-1.30103,1.30103
1159,2.703335,-2,2,-1.30103,1.30103
1161,2.703335,-2,2,-1.30103,1.30103
1163,2.703335,-2,2,-1.30103,1.30103
1165,2.703335,-2,2,-1.30103,1.30103
1167,2.703335,-2,2,-1.30103,1.30103
