alpos,rec_bp,up99,lo99,up95,lo95
167,13.39531,11.34238,1.482856,10.17215,2.469366
169,13.33181,11.33954,1.477956,10.15514,2.416295
171,13.14024,11.34921,1.47836,10.05613,2.317401
173,13.02097,11.35706,1.478176,9.933889,2.287273
175,12.86876,11.47562,1.48846,9.886068,2.239233
177,12.90923,12.27009,1.495044,10.16626,2.361028
179,12.95942,12.47587,1.506548,10.48205,2.497787
181,12.9817,12.64386,1.511019,10.58525,2.491093
183,13.05539,12.85894,1.622477,10.91253,2.755049
185,13.05209,13.02805,1.791341,11.0908,2.843835
187,13.04878,13.19716,1.960206,11.23713,2.932621
189,12.96595,13.2955,1.992923,11.28324,3.034068
191,12.95315,13.55467,2.044911,11.92489,3.146716
193,12.92848,13.7872,2.139992,12.13754,3.527988
195,12.84377,13.80421,2.148373,12.13859,3.538758
197,12.75907,13.82122,2.156754,12.13963,3.541209
199,12.67437,13.83823,2.165135,12.14068,3.531185
201,12.596,13.83254,2.173131,12.13985,3.526017
203,12.52551,13.80444,2.187186,12.15087,3.517122
205,12.48166,13.80178,2.207763,12.13612,3.547182
207,12.475,13.93645,2.224644,12.19119,3.561217
209,12.4567,14.03486,2.236395,12.45411,3.612739
211,12.438,14.0062,2.244946,12.64158,3.637808
213,12.41931,13.97755,2.253498,12.65956,3.62033
215,12.40061,13.97103,2.262049,12.8587,3.602851
217,12.38794,14.07426,2.284709,13.0152,3.608925
219,12.37018,14.12537,2.304452,13.09469,3.616454
221,12.35242,14.19386,2.324194,13.03281,3.596916
223,12.33466,14.22758,2.343937,12.94906,3.605339
225,12.33022,14.26694,2.376839,12.98453,3.618856
227,12.31622,14.31163,2.407871,13.03074,3.632194
229,12.23313,14.46442,2.437279,12.9283,3.614765
231,12.1967,14.61721,2.46669,12.59687,3.59684
233,11.0095,14.03614,2.305259,12.60218,3.764631
235,10.43377,13.97813,2.779347,12.51349,3.65172
237,10.08972,14.05354,2.846003,12.70073,3.653538
239,9.732671,14.15332,2.906579,12.83181,3.687069
241,9.511141,14.02664,3.010091,12.75148,3.674822
243,9.258055,14.02159,3.107304,12.71961,3.653468
245,8.955104,13.96423,3.099815,12.43542,3.605506
247,8.668261,13.61088,2.944384,12.20794,3.471486
249,8.487552,13.50721,2.668893,12.20706,3.483044
251,8.629137,13.68334,2.675613,12.18216,3.617408
253,8.747192,13.77221,2.6985,12.43658,3.535119
255,9.046068,14.11899,2.789725,12.55563,3.56349
257,9.439303,14.49632,2.859334,12.9344,3.691618
259,9.966449,14.88718,3.04459,13.43754,3.907286
261,10.09312,15.00134,3.094598,13.47932,3.996201
263,10.20845,15.07802,3.087572,13.64929,3.997952
265,10.38365,15.15579,3.080397,13.71587,3.977743
267,10.69468,15.24881,3.101621,14.07252,4.075788
269,10.79408,15.2761,3.122021,14.01507,4.087847
271,10.66831,15.30337,3.084458,13.99978,4.071243
273,10.71005,15.33134,3.042602,13.96759,4.061356
275,11.02496,15.63155,3.05587,14.16176,4.152494
277,11.39477,15.71123,3.178723,14.32182,4.221082
279,11.79245,15.73481,3.283604,14.66517,4.267453
281,12.15648,15.77427,3.444375,14.78109,4.454723
283,12.73046,16.07514,3.774174,15.33756,4.521361
285,12.89744,16.26528,3.775084,15.41482,4.512547
287,13.06442,16.45543,3.775995,15.49208,4.521635
289,13.22217,16.57199,3.776122,15.66944,4.539848
291,13.35504,16.33201,3.772091,15.66694,4.569882
293,13.71705,16.57511,3.852655,15.59226,4.641277
295,13.78689,16.28672,3.847108,15.37688,4.685828
297,13.78878,16.24921,3.840199,15.34834,4.703853
299,13.79067,16.21394,3.833584,15.29702,4.630424
301,13.77386,16.17984,3.827096,15.23836,4.642915
303,13.5156,16.11083,3.800693,15.15627,4.665456
305,13.40728,16.07732,3.772524,15.03607,4.632767
307,12.97428,16.04783,3.771984,14.56348,4.579833
309,12.86905,16.0904,3.769751,14.62282,4.533709
311,12.76382,16.13297,3.767518,14.66603,4.487586
313,12.39567,16.12565,3.752287,14.62941,4.41752
315,12.24534,16.08938,3.741603,14.4072,4.355025
317,12.18327,16.08892,3.681318,14.22161,4.304277
319,12.07404,16.0589,3.534838,14.02756,4.26452
321,11.97542,15.98878,3.331727,13.89431,4.177008
323,11.99425,15.98168,3.245317,13.81736,4.177969
325,12.0885,15.99754,3.244365,13.91193,4.174024
327,12.25714,16.00754,3.307054,14.16795,4.215135
329,12.44516,16.00723,3.481883,14.36128,4.266615
331,12.50652,15.9995,3.489448,14.3893,4.271773
333,12.56787,15.99178,3.490644,14.41732,4.269684
335,12.57374,15.98383,3.483871,14.39423,4.218707
337,12.49412,15.97447,3.478733,14.29387,4.197192
339,12.40582,15.96441,3.481692,14.22657,4.181163
341,12.36664,16.04441,3.486688,14.45443,4.259424
343,12.37094,16.0704,3.489033,14.46441,4.24183
345,12.27631,16.05256,3.491107,14.46353,4.221657
347,12.25154,15.90228,3.493887,14.32056,4.219325
349,12.30292,15.85588,3.497102,14.27579,4.217009
351,12.3098,15.7814,3.498941,14.18566,4.214664
353,12.33897,15.49077,3.53204,14.31292,4.21327
355,12.46096,15.49105,3.568686,14.47863,4.211804
357,12.49788,15.44812,3.556439,14.47577,4.209368
359,12.52082,15.311,3.543449,14.50309,4.214401
361,12.53632,15.29568,3.531091,14.44073,4.222542
363,12.56214,15.32843,3.519136,14.41891,4.229922
365,12.58774,15.36122,3.507197,14.40211,4.23736
367,12.62376,15.39405,3.495269,14.47578,4.244843
369,12.6645,15.5122,3.479917,14.52156,4.28089
371,12.70768,15.71562,3.560612,14.53941,4.27704
373,12.75086,15.91904,3.642232,14.55727,4.273191
375,12.73341,16.11377,3.41835,14.3481,4.208531
377,12.71325,16.31522,3.404886,14.23155,4.138245
379,12.68171,16.26162,3.405459,13.92054,4.087966
381,12.67809,16.22163,3.395374,13.84654,4.057871
383,12.62305,15.90991,3.276567,13.71644,3.843273
385,12.64933,15.62933,3.273062,13.63138,3.830753
387,12.67994,15.58595,3.244274,13.63263,3.817203
389,12.77324,15.5847,3.215301,13.60755,3.800828
391,12.72551,15.41032,3.162453,13.39932,3.786521
393,12.68963,15.23528,2.952909,13.09996,3.647693
395,12.71378,15.22439,2.942898,13.09282,3.639943
397,12.73794,15.2135,2.932887,13.08568,3.593209
399,12.76209,15.20261,2.922875,12.97993,3.566703
401,12.78624,15.19172,2.912864,12.85004,3.517392
403,12.80846,15.1811,2.902097,12.69817,3.481601
405,12.82873,15.17074,2.890574,12.67043,3.485801
407,12.83692,15.1641,2.879766,12.59641,3.403609
409,12.85675,14.71074,2.780726,12.45007,3.33079
411,12.87698,14.68746,2.777099,12.46733,3.3185
413,12.8972,14.66417,2.773472,12.4742,3.306211
415,12.91743,14.64088,2.769845,12.46134,3.293922
417,12.93163,14.43354,2.453944,12.2647,3.269173
419,12.95092,14.18721,2.432355,12.23703,3.262532
421,12.9844,13.94302,2.434826,12.21004,3.305981
423,13.03206,13.94488,2.439445,12.20352,3.34337
425,13.0664,13.9644,2.408979,12.17701,3.270049
427,13.19992,13.99594,2.428029,12.28638,3.319133
429,13.22947,14.00915,2.423559,12.28558,3.262928
431,13.25901,14.02235,2.41909,12.28478,3.251379
433,13.23627,13.63018,2.360965,12.15149,2.998032
435,13.23213,13.5709,2.218268,11.86937,2.847654
437,13.24994,13.56812,2.111371,11.72287,2.846419
439,13.25638,13.27806,1.920577,11.56568,2.787188
441,13.25019,13.03105,1.828045,11.59213,2.668144
443,13.29173,12.80843,1.88076,11.58465,2.710436
445,13.29584,12.725,1.886906,11.53361,2.723349
447,13.32551,12.81857,1.878144,11.48883,2.709014
449,13.32469,12.60592,1.819645,11.46789,2.65464
451,13.16202,12.48766,1.717734,11.28024,2.545405
453,13.0229,12.48677,1.626258,11.12033,2.486672
455,12.64984,12.47351,1.595893,10.79452,2.404434
457,12.27806,12.20155,1.480936,10.20945,2.265027
459,13.12114,11.91551,1.208103,10.07199,2.117668
461,13.46697,11.86648,1.117993,9.862774,2.073605
463,13.87546,11.81441,1.110089,9.930691,1.948237
465,13.86578,11.61807,1.632962,9.755257,2.041947
467,13.68899,11.47881,1.559765,9.575333,2.060513
469,13.72092,11.50651,1.411769,9.528844,2.147314
471,13.75285,11.53421,1.160917,9.459075,2.119798
473,13.98288,11.60987,0.9835176,9.403657,2.09288
475,13.63248,11.11423,0.9445164,9.285033,1.837188
477,13.22719,10.78397,0.928674,9.02097,1.721175
479,12.79402,10.55357,0.8980641,8.842957,1.576593
481,12.39451,10.302,0.8736119,8.535792,1.468256
483,11.78504,10.06399,0.7350192,8.156864,1.33576
485,11.58258,9.905058,0.7212873,8.078925,1.314534
487,11.38012,9.746126,0.6999845,7.954915,1.174015
489,11.18688,9.623887,0.6285536,7.638837,1.084866
491,10.99361,9.497913,0.5782139,7.59158,0.9957172
493,10.6116,9.259604,0.5461462,7.342623,0.9349034
495,10.51035,9.007049,0.5240301,7.240685,0.9194893
497,10.48785,8.985623,0.5237015,7.236342,0.9132383
499,10.46536,8.964199,0.5233729,7.231999,0.9069874
501,10.44286,8.942774,0.5230443,7.227656,0.9007365
503,10.42037,8.921349,0.5227158,7.223313,0.8944855
505,10.39787,8.899923,0.5223873,7.21897,0.8882346
507,10.37538,8.878498,0.5220587,7.183838,0.8843541
509,10.35288,8.854497,0.5217301,7.144941,0.8817276
511,10.33039,8.805484,0.5214015,7.120225,0.8791011
513,10.30789,8.756472,0.5222008,7.112269,0.8764746
515,10.2854,8.707458,0.5207444,7.104314,0.8738481
517,10.2629,8.658446,0.5204158,7.045584,0.8712217
519,10.24041,8.609433,0.5200873,6.99174,0.8685952
521,10.18018,8.332845,0.5025538,6.884866,0.8380155
523,10.09277,8.285946,0.4909354,6.849383,0.8110672
525,10.00537,8.281573,0.479317,6.723917,0.7953342
527,9.848124,7.93404,0.4622625,6.344688,0.7457187
529,9.671499,7.409637,0.4384312,6.186944,0.7052631
531,10.14824,7.40515,0.4360996,6.268542,0.7357342
533,10.66773,7.39912,0.4500282,6.702446,0.7388906
535,10.74152,8.307588,0.4767743,6.852217,0.764141
537,10.78775,8.364101,0.4880728,6.827983,0.7503818
539,10.80927,8.490057,0.4900158,6.812711,0.7280802
541,10.50548,8.152064,0.4818245,6.659163,0.6864918
543,10.42416,8.077655,0.4820775,6.648415,0.7020402
545,10.34285,8.003246,0.4806051,6.634108,0.7279204
547,10.26153,7.928837,0.4771227,6.597726,0.7538007
549,10.18022,7.869202,0.4736403,6.586974,0.7651295
551,10.0989,7.81882,0.4701579,6.576324,0.7650725
553,10.0207,7.719211,0.4602646,6.564272,0.7199791
555,9.886499,7.649972,0.4598215,6.478755,0.7094392
557,9.853311,7.583233,0.4588351,6.46921,0.7004786
559,9.820121,7.516493,0.4570665,6.459664,0.691518
561,9.786931,7.449754,0.4608131,6.450118,0.6569381
563,9.758867,7.382247,0.462116,6.440708,0.6532825
565,9.730803,7.314741,0.4627223,6.431299,0.6296979
567,9.70274,7.247234,0.4633285,6.405177,0.6061133
569,9.672235,7.079845,0.4639415,6.408123,0.595506
571,9.639288,7.028564,0.458877,6.390002,0.5950305
573,9.60634,6.992993,0.4464486,6.340378,0.594555
575,9.573394,6.957423,0.4447734,6.293912,0.5940795
577,9.525206,6.757506,0.4422832,6.223655,0.5351619
579,9.478681,6.768455,0.4391404,6.093916,0.5288016
581,9.432156,6.779404,0.4359976,6.078711,0.5333793
583,9.385632,6.790352,0.4220393,5.976515,0.5379569
585,9.364492,6.76409,0.4050706,5.791985,0.5006336
587,9.368974,7.222164,0.3723507,5.801669,0.5038815
589,9.346412,7.255953,0.3841672,6.065406,0.5654699
591,9.456032,7.628398,0.387297,6.335973,0.6354746
593,9.647834,7.917616,0.3930723,6.683271,0.669463
595,9.714597,8.157773,0.4242986,6.867316,0.8462588
597,9.812973,8.765341,0.4247447,7.004117,0.8832458
599,9.852633,8.77745,0.4229563,7.119394,0.8894274
601,9.871018,8.824794,0.4212834,7.205092,0.9295998
603,9.890772,8.83745,0.4217964,7.348056,0.9559018
605,9.906425,8.832684,0.5695797,7.338328,0.9784223
607,9.922067,8.827031,0.5786982,7.322365,1.000834
609,9.93771,8.82138,0.5878168,7.284036,1.023247
611,9.953352,8.815728,0.5969353,7.290441,1.045659
613,9.968995,8.810077,0.6060538,7.282544,1.068136
615,9.999894,8.805866,0.6590544,7.387906,1.091734
617,10.06786,8.82946,0.6800193,7.628619,1.115483
619,10.10891,8.828295,0.6959523,7.618536,1.161174
621,10.13578,8.770747,0.6998041,7.548493,1.177707
623,10.14843,8.656817,0.6900356,7.579955,1.214551
625,10.16106,8.542888,0.6910788,7.529543,1.225889
627,10.07096,8.600269,0.7300717,7.413283,1.229928
629,10.23182,8.681406,0.7288811,7.500365,1.275615
631,10.39444,8.747173,0.7274747,7.618404,1.261532
633,10.47561,8.786485,0.7213149,7.617506,1.370159
635,10.48388,8.771816,0.7145152,7.604743,1.327204
637,10.49653,8.750824,0.7126729,7.633613,1.310531
639,10.51358,8.752768,0.7157943,7.673855,1.288005
641,10.55213,8.749127,0.805768,7.763745,1.302253
643,10.5775,8.889799,0.812892,7.905221,1.2998
645,10.60612,8.986702,0.8328384,8.101642,1.289248
647,10.63458,9.643129,0.8715445,8.252747,1.367152
649,10.77143,10.36908,0.9111665,8.559692,1.448993
651,10.74149,10.12472,0.9463076,8.729057,1.504543
653,10.67862,10.16584,0.9487576,8.751689,1.471915
655,10.61573,10.36742,0.9512922,8.826816,1.514758
657,10.55543,10.7258,0.9225848,8.898022,1.602737
659,9.155871,10.56301,0.8063572,8.971993,1.55181
661,8.648854,10.37223,0.822067,8.946232,1.569565
663,8.091395,10.12746,0.8588767,8.945336,1.614262
665,7.896102,10.60183,0.8087958,9.067409,1.813166
667,7.731641,10.59877,0.8347113,9.140351,1.822947
669,7.566685,10.58439,0.8208159,9.325983,1.830962
671,7.401752,10.63241,0.765585,9.323616,1.842703
673,7.038742,10.61722,0.6464785,9.152953,1.831184
675,7.030044,10.7323,0.6700265,9.213986,1.914573
677,7.033865,11.21292,0.6899449,9.400846,2.072709
679,7.095153,12.22714,0.7181867,9.619235,2.152401
681,7.258071,12.73352,0.7771773,9.901327,2.26609
683,7.407742,13.26566,0.80088,10.07451,2.374425
685,7.568231,13.6924,0.8788729,10.30456,2.472362
687,7.841901,13.84737,1.293828,10.94603,2.704833
689,8.016996,13.93558,1.31909,11.27343,2.827897
691,8.112029,14.47558,1.33979,11.67496,3.086329
693,8.124701,14.53579,1.411965,11.79118,3.151582
695,8.137374,14.59599,1.522723,12.0439,3.166673
697,8.151628,14.65142,1.637025,12.28267,3.264626
699,8.250471,14.73493,1.888933,12.66547,3.379362
701,8.413336,14.89375,2.150968,13.18232,3.643576
703,8.619516,15.15487,2.173504,13.52323,3.763757
705,8.833313,15.5704,2.194515,13.98259,3.855949
707,9.06842,16.17508,2.280056,14.23746,4.006979
709,9.210067,16.38584,2.784812,14.32566,4.055444
711,9.353076,16.59014,3.11008,14.47302,4.071442
713,9.49894,17.13791,3.207549,14.55896,4.14437
715,9.646619,17.51934,3.382921,14.78322,4.249572
717,9.839518,17.67042,3.517679,14.99507,4.417255
719,10.07735,17.70515,3.516564,15.18022,4.567932
721,10.25298,17.90146,3.844243,15.56803,4.896368
723,10.49567,18.64338,3.974525,16.09501,5.092248
725,10.72566,18.92236,4.193765,16.43017,5.399467
727,10.86375,18.97303,4.330458,16.88789,5.484127
729,10.96729,19.00372,4.540782,17.35089,5.746306
731,10.49075,19.04803,4.536206,17.57596,5.936899
733,9.949015,19.00993,5.16024,17.93974,6.017799
735,9.846295,19.21458,5.271361,18.20713,6.133718
737,9.768201,20.01682,4.969038,18.17373,6.296777
739,9.816051,20.53498,4.823799,18.56075,6.30262
741,9.884665,20.90216,5.371564,18.71036,6.598858
743,9.902649,21.00977,5.392696,18.96681,6.826894
745,9.91432,21.22095,5.419259,19.24126,7.244704
747,9.928511,21.6854,5.533986,19.74199,7.263154
749,9.93963,21.88301,5.983769,20.03916,7.297402
751,9.981873,22.78031,6.234545,20.40051,7.691073
753,10.04701,23.27943,6.482431,20.95426,8.084931
755,10.36064,23.77231,6.984225,21.73194,8.246091
757,10.53721,23.97857,7.231897,22.10974,8.445708
759,10.77279,24.29658,7.402067,22.43683,8.565155
761,10.96443,24.98624,7.622478,22.79775,8.788475
763,11.15278,25.54197,7.967252,23.34489,9.153024
765,11.36844,26.071,8.513296,23.83986,9.298301
767,11.48012,26.43581,8.727398,24.39981,9.563089
769,11.59353,27.00695,9.047154,24.82802,10.01945
771,11.70933,27.05838,9.141797,25.28654,10.44607
773,11.85705,27.11024,9.159281,25.55024,10.67099
775,11.98384,27.81657,9.48692,26.22445,10.94946
777,12.10988,28.03432,9.776287,26.79671,11.37339
779,12.19772,28.38881,9.872672,27.46217,11.54642
781,12.23412,28.42776,9.892644,27.56115,11.55606
783,12.27052,28.46671,9.912615,27.57398,11.56571
785,12.27721,28.39408,9.932565,27.57749,11.5744
787,12.25395,28.41743,9.95249,27.55601,11.5754
789,12.19504,28.44627,9.963266,27.15223,11.55366
791,12.11894,29.10168,9.960316,27.28838,11.50591
793,11.973,29.14737,9.68732,27.46211,11.59811
795,12.03563,29.30091,9.728094,27.96279,11.80887
797,12.1694,30.05869,9.879921,28.63272,12.05501
799,12.7214,30.91848,9.927779,29.05327,12.46704
801,12.76009,31.12422,10.39479,28.80826,12.48096
803,12.76463,31.20225,10.40105,28.8283,12.58696
805,12.76752,31.09874,10.47149,28.93295,12.73476
807,12.77891,31.3028,10.58783,29.12216,12.80068
809,12.7758,31.4682,10.66153,29.42207,12.93871
811,12.77084,31.60878,10.67812,29.62992,13.49857
813,12.77206,32.64081,10.72224,29.812,13.72725
815,12.74519,32.67263,10.82603,30.18105,13.74459
817,12.677,33.0849,10.93977,30.52264,13.75621
819,12.64483,34.04581,11.22127,31.0635,14.26016
821,12.58978,34.52874,11.47034,31.96892,14.62545
823,12.53327,34.80599,11.71463,32.31255,15.08713
825,12.5196,34.69788,11.76519,32.42786,15.21796
827,12.45873,34.49429,11.86244,32.44398,15.25745
829,12.25115,34.34127,11.65742,32.46109,15.22911
831,12.38019,34.84884,11.88449,32.78682,15.43856
833,12.27546,35.11612,12.31939,33.13942,15.78674
835,12.24128,35.78219,12.63429,33.53161,16.00035
837,12.20022,36.28567,13.02469,33.77511,16.37483
839,12.15282,36.62786,13.46214,34.18613,16.47887
841,12.07042,37.52097,13.73429,34.91717,16.95271
843,11.99068,38.17311,14.02891,34.98572,17.2379
845,11.90025,37.61147,14.43022,34.98058,17.1517
847,11.80465,37.83532,14.47499,34.78204,16.84006
849,11.60838,38.00969,14.47863,34.93407,16.82896
851,11.57561,38.02831,14.30673,34.57962,16.5349
853,11.57574,37.98767,14.33503,34.53336,16.51353
855,11.57587,37.92124,14.36333,34.38371,16.52539
857,11.57339,37.81045,14.37877,34.16504,16.53648
859,11.57438,37.69576,14.24188,34.07658,16.39234
861,11.58055,37.61666,14.26758,33.99176,16.38979
863,11.5885,37.51834,14.15147,33.96159,16.42317
865,11.59256,37.41448,14.50983,34.72226,16.38683
867,11.59623,38.4426,14.59519,35.06617,16.40564
869,11.60255,38.74434,14.51117,35.07982,16.54241
871,11.60901,39.01068,14.45717,35.11577,16.68071
873,11.61561,39.24163,14.42658,35.174,16.81033
875,11.70308,39.80951,14.71544,35.24495,16.99897
877,11.78019,39.47121,15.40152,35.8939,17.00224
879,11.80183,39.72917,15.03325,35.5327,17.13503
881,11.72083,39.81936,14.99742,35.8056,17.16948
883,11.65215,39.77975,15.11345,36.16329,17.42676
885,11.47837,39.7387,15.42564,36.12464,17.58112
887,11.19584,39.7432,15.39451,36.59436,17.4524
889,11.00629,39.79374,15.78806,36.70178,17.37887
891,10.89586,39.95216,16.00867,37.10577,17.48914
893,10.86232,40.40932,16.20788,37.39488,17.72558
895,10.83338,40.63932,16.23076,37.46605,17.98439
897,10.8025,40.82131,16.27398,38.56624,18.27656
899,10.68258,40.77751,16.47413,38.8934,18.62573
901,10.49717,41.05651,16.26517,38.90818,18.79304
903,10.26958,41.47864,16.29568,39.35658,18.73984
905,10.03193,41.73696,16.31884,39.25537,18.67817
907,9.771708,41.90225,16.47139,39.23962,18.50715
909,9.60366,41.98243,16.93485,39.05454,18.8263
911,9.434215,42.10201,16.84723,39.0741,18.51449
913,9.264775,42.41171,17.17426,39.12384,18.6014
915,9.100452,42.48302,17.46222,39.38723,18.78294
917,8.893537,42.59607,17.69224,39.48869,18.93043
919,8.637774,42.87966,17.88424,40.01976,19.39582
921,8.439669,42.26286,18.01638,40.02885,19.6869
923,8.175849,42.44758,17.73038,40.29092,20.01165
925,7.930495,42.24649,17.62607,40.44569,20.13187
927,7.77901,42.16758,17.60132,40.4846,20.36587
929,7.65564,42.80488,17.7004,40.54627,20.5664
931,7.588263,43.2984,17.75431,40.7142,20.50126
933,7.543524,42.67194,17.65327,40.6527,20.49386
935,7.495039,42.75182,17.42051,40.69712,20.52701
937,7.449433,42.61653,17.33182,40.52135,20.89299
939,7.304574,42.8321,16.93969,40.36536,20.56168
941,7.211317,42.68385,16.99188,40.19901,20.46206
943,7.168771,42.67484,17.08488,40.09827,20.55507
945,7.135467,41.65352,17.37763,40.07093,20.61211
947,7.100492,42.30626,17.73848,40.29403,20.8818
949,7.072008,43.43287,18.5835,40.91684,21.30798
951,7.013515,44.06105,18.57076,41.32976,21.09302
953,6.925066,44.36182,18.62444,40.95852,20.82159
955,6.588497,44.38028,18.74518,41.2323,20.84015
957,6.395435,44.49748,18.87407,41.21739,20.92591
959,6.14234,44.24932,19.17422,41.7771,20.87664
961,5.929522,44.13977,19.36398,41.7673,20.89243
963,5.718098,43.90189,19.15827,41.7108,20.76369
965,5.480499,43.86765,18.64919,41.35279,20.48065
967,5.347129,44.05832,17.88403,41.12621,20.3216
969,5.21211,43.98915,17.76451,40.89731,20.19217
971,5.088417,44.41782,18.05172,41.09357,20.33499
973,4.947919,44.86192,18.73581,41.39797,20.28423
975,4.843881,44.24951,18.75558,41.28403,20.05287
977,4.701691,44.24446,18.57589,41.02298,19.78138
979,4.60164,44.06436,18.23729,41.22642,19.686
981,4.550436,45.45012,18.48393,41.5907,20.10218
983,4.492686,45.73646,18.70125,41.7629,20.32787
985,4.436309,46.16069,18.68143,42.21993,20.53558
987,4.383981,46.84457,18.94816,42.81702,20.90919
989,4.329869,47.30828,19.48673,43.17081,21.2952
991,4.271925,47.2,19.83669,43.27362,21.37648
993,4.21375,47.45964,19.61961,43.68011,21.3818
995,4.072491,47.944,19.70201,43.41348,21.47801
997,3.850855,48.07697,19.53554,43.14796,22.16399
999,3.244459,47.56321,19.19731,42.95581,21.66638
1001,3.163878,47.29533,19.0437,42.74347,21.42255
1003,3.118043,47.16357,19.12585,42.84902,21.43669
1005,3.067478,46.99562,19.16617,42.92544,21.56258
1007,3.007632,47.54519,19.20993,42.93121,21.73523
1009,2.971323,48.57127,19.371,43.05869,21.81799
