depth,gc,acc,gcrank
65.26,0.3,SRR2037085_NODE_6491_length_2496_cov_30.374027,bot90
79.99,0.3,SRR2037085_NODE_6491_length_2496_cov_30.374027,bot90
78.93,0.3,SRR2037085_NODE_6491_length_2496_cov_30.374027,bot90
64.12,0.3,SRR2037085_NODE_6491_length_2496_cov_30.374027,bot90
87.38,0.29,SRR2037085_NODE_6491_length_2496_cov_30.374027,bot90
69.03,0.28,SRR2037085_NODE_6491_length_2496_cov_30.374027,bot90
74.57,0.26,SRR2037085_NODE_6491_length_2496_cov_30.374027,bot90
31.42,0.55,SRR6316207_NODE_13_length_2455_cov_18.075000,top10
29.77,0.52,SRR6316207_NODE_13_length_2455_cov_18.075000,top10
25.35,0.49,SRR6316207_NODE_13_length_2455_cov_18.075000,top10
18.54,0.47,SRR6316207_NODE_13_length_2455_cov_18.075000,top10
31.89,0.45,SRR6316207_NODE_13_length_2455_cov_18.075000,top10
18.45,0.45,SRR6316207_NODE_13_length_2455_cov_18.075000,bot90
41.01,0.44,SRR6316207_NODE_13_length_2455_cov_18.075000,bot90
36.81,0.44,SRR6316207_NODE_13_length_2455_cov_18.075000,bot90
34.83,0.44,SRR6316207_NODE_13_length_2455_cov_18.075000,bot90
44.88,0.44,SRR6316207_NODE_13_length_2455_cov_18.075000,bot90
43.41,0.44,SRR6316207_NODE_13_length_2455_cov_18.075000,bot90
41.92,0.44,SRR6316207_NODE_13_length_2455_cov_18.075000,bot90
39.82,0.43,SRR6316207_NODE_13_length_2455_cov_18.075000,bot90
39.15,0.43,SRR6316207_NODE_13_length_2455_cov_18.075000,bot90
29.54,0.43,SRR6316207_NODE_13_length_2455_cov_18.075000,bot90
18.41,0.42,SRR6316207_NODE_13_length_2455_cov_18.075000,bot90
63.56,0.42,SRR6316207_NODE_13_length_2455_cov_18.075000,bot90
42.17,0.41,SRR6316207_NODE_13_length_2455_cov_18.075000,bot90
22.53,0.41,SRR6316207_NODE_13_length_2455_cov_18.075000,bot90
22.07,0.41,SRR6316207_NODE_13_length_2455_cov_18.075000,bot90
68.87,0.41,SRR6316207_NODE_13_length_2455_cov_18.075000,bot90
41.26,0.39,SRR6316207_NODE_13_length_2455_cov_18.075000,bot90
19.36,0.39,SRR6316207_NODE_13_length_2455_cov_18.075000,bot90
26.2,0.39,SRR6316207_NODE_13_length_2455_cov_18.075000,bot90
36.28,0.39,SRR6316207_NODE_13_length_2455_cov_18.075000,bot90
45.13,0.39,SRR6316207_NODE_13_length_2455_cov_18.075000,bot90
41.16,0.39,SRR6316207_NODE_13_length_2455_cov_18.075000,bot90
44.94,0.39,SRR6316207_NODE_13_length_2455_cov_18.075000,bot90
37.48,0.38,SRR6316207_NODE_13_length_2455_cov_18.075000,bot90
36.21,0.38,SRR6316207_NODE_13_length_2455_cov_18.075000,bot90
37.25,0.38,SRR6316207_NODE_13_length_2455_cov_18.075000,bot90
33.52,0.38,SRR6316207_NODE_13_length_2455_cov_18.075000,bot90
13.2,0.38,SRR6316207_NODE_13_length_2455_cov_18.075000,bot90
22.67,0.37,SRR6316207_NODE_13_length_2455_cov_18.075000,bot90
45.87,0.37,SRR6316207_NODE_13_length_2455_cov_18.075000,bot90
16.73,0.36,SRR6316207_NODE_13_length_2455_cov_18.075000,bot90
63.1,0.36,SRR6316207_NODE_13_length_2455_cov_18.075000,bot90
33.54,0.36,SRR6316207_NODE_13_length_2455_cov_18.075000,bot90
27.36,0.36,SRR6316207_NODE_13_length_2455_cov_18.075000,bot90
7.55,0.35,SRR6316207_NODE_13_length_2455_cov_18.075000,bot90
49.86,0.35,SRR6316207_NODE_13_length_2455_cov_18.075000,bot90
39.94,0.34,SRR6316207_NODE_13_length_2455_cov_18.075000,bot90
45.02,0.34,SRR6316207_NODE_13_length_2455_cov_18.075000,bot90
41.34,0.34,SRR6316207_NODE_13_length_2455_cov_18.075000,bot90
41.28,0.34,SRR6316207_NODE_13_length_2455_cov_18.075000,bot90
40.42,0.33,SRR6316207_NODE_13_length_2455_cov_18.075000,bot90
49.51,0.32,SRR6316207_NODE_13_length_2455_cov_18.075000,bot90
27.68,0.31,SRR6316207_NODE_13_length_2455_cov_18.075000,bot90
8.89,0.62,SRR7166762_NODE_30_length_2873_cov_3.689141,top10
6.5,0.6,SRR7166762_NODE_30_length_2873_cov_3.689141,top10
9.39,0.59,SRR7166762_NODE_30_length_2873_cov_3.689141,top10
6.06,0.55,SRR7166762_NODE_30_length_2873_cov_3.689141,top10
3.14,0.53,SRR7166762_NODE_30_length_2873_cov_3.689141,top10
7.53,0.5,SRR7166762_NODE_30_length_2873_cov_3.689141,top10
7.89,0.49,SRR7166762_NODE_30_length_2873_cov_3.689141,bot90
12.46,0.47,SRR7166762_NODE_30_length_2873_cov_3.689141,bot90
4.83,0.46,SRR7166762_NODE_30_length_2873_cov_3.689141,bot90
5.34,0.44,SRR7166762_NODE_30_length_2873_cov_3.689141,bot90
8.16,0.43,SRR7166762_NODE_30_length_2873_cov_3.689141,bot90
15.94,0.43,SRR7166762_NODE_30_length_2873_cov_3.689141,bot90
6.77,0.43,SRR7166762_NODE_30_length_2873_cov_3.689141,bot90
3.73,0.42,SRR7166762_NODE_30_length_2873_cov_3.689141,bot90
10.25,0.41,SRR7166762_NODE_30_length_2873_cov_3.689141,bot90
4.61,0.4,SRR7166762_NODE_30_length_2873_cov_3.689141,bot90
11.49,0.4,SRR7166762_NODE_30_length_2873_cov_3.689141,bot90
4.42,0.4,SRR7166762_NODE_30_length_2873_cov_3.689141,bot90
7.03,0.39,SRR7166762_NODE_30_length_2873_cov_3.689141,bot90
6.3,0.38,SRR7166762_NODE_30_length_2873_cov_3.689141,bot90
6.74,0.37,SRR7166762_NODE_30_length_2873_cov_3.689141,bot90
5.81,0.37,SRR7166762_NODE_30_length_2873_cov_3.689141,bot90
5.88,0.37,SRR7166762_NODE_30_length_2873_cov_3.689141,bot90
15.41,0.36,SRR7166762_NODE_30_length_2873_cov_3.689141,bot90
12.72,0.36,SRR7166762_NODE_30_length_2873_cov_3.689141,bot90
12.04,0.35,SRR7166762_NODE_30_length_2873_cov_3.689141,bot90
4.95,0.35,SRR7166762_NODE_30_length_2873_cov_3.689141,bot90
19.07,0.35,SRR7166762_NODE_30_length_2873_cov_3.689141,bot90
7.4,0.34,SRR7166762_NODE_30_length_2873_cov_3.689141,bot90
8.88,0.34,SRR7166762_NODE_30_length_2873_cov_3.689141,bot90
12.86,0.34,SRR7166762_NODE_30_length_2873_cov_3.689141,bot90
9.56,0.34,SRR7166762_NODE_30_length_2873_cov_3.689141,bot90
9.73,0.34,SRR7166762_NODE_30_length_2873_cov_3.689141,bot90
5.74,0.34,SRR7166762_NODE_30_length_2873_cov_3.689141,bot90
14.96,0.33,SRR7166762_NODE_30_length_2873_cov_3.689141,bot90
10.8,0.33,SRR7166762_NODE_30_length_2873_cov_3.689141,bot90
4.48,0.33,SRR7166762_NODE_30_length_2873_cov_3.689141,bot90
5.46,0.32,SRR7166762_NODE_30_length_2873_cov_3.689141,bot90
24.31,0.32,SRR7166762_NODE_30_length_2873_cov_3.689141,bot90
11.45,0.32,SRR7166762_NODE_30_length_2873_cov_3.689141,bot90
9.76,0.31,SRR7166762_NODE_30_length_2873_cov_3.689141,bot90
12.56,0.31,SRR7166762_NODE_30_length_2873_cov_3.689141,bot90
27.77,0.31,SRR7166762_NODE_30_length_2873_cov_3.689141,bot90
8.64,0.31,SRR7166762_NODE_30_length_2873_cov_3.689141,bot90
9.72,0.31,SRR7166762_NODE_30_length_2873_cov_3.689141,bot90
5.34,0.3,SRR7166762_NODE_30_length_2873_cov_3.689141,bot90
8.99,0.3,SRR7166762_NODE_30_length_2873_cov_3.689141,bot90
14.32,0.29,SRR7166762_NODE_30_length_2873_cov_3.689141,bot90
5.74,0.29,SRR7166762_NODE_30_length_2873_cov_3.689141,bot90
7.47,0.29,SRR7166762_NODE_30_length_2873_cov_3.689141,bot90
13.87,0.28,SRR7166762_NODE_30_length_2873_cov_3.689141,bot90
9.02,0.27,SRR7166762_NODE_30_length_2873_cov_3.689141,bot90
10.09,0.26,SRR7166762_NODE_30_length_2873_cov_3.689141,bot90
7.18,0.26,SRR7166762_NODE_30_length_2873_cov_3.689141,bot90
7.67,0.25,SRR7166762_NODE_30_length_2873_cov_3.689141,bot90
12.6,0.23,SRR7166762_NODE_30_length_2873_cov_3.689141,bot90
9479.4,0.89,SRR6316233_NODE_4_length_3596_cov_134.751483,top10
8758.68,0.73,SRR6316233_NODE_4_length_3596_cov_134.751483,top10
10849.75,0.71,SRR6316233_NODE_4_length_3596_cov_134.751483,top10
23311.77,0.7,SRR6316233_NODE_4_length_3596_cov_134.751483,top10
1578.38,0.68,SRR6316233_NODE_4_length_3596_cov_134.751483,top10
23811.78,0.67,SRR6316233_NODE_4_length_3596_cov_134.751483,top10
3150.07,0.62,SRR6316233_NODE_4_length_3596_cov_134.751483,top10
23250.22,0.6,SRR6316233_NODE_4_length_3596_cov_134.751483,bot90
26818.53,0.6,SRR6316233_NODE_4_length_3596_cov_134.751483,bot90
25696.29,0.6,SRR6316233_NODE_4_length_3596_cov_134.751483,bot90
9564.13,0.6,SRR6316233_NODE_4_length_3596_cov_134.751483,bot90
5183.41,0.59,SRR6316233_NODE_4_length_3596_cov_134.751483,bot90
28818.16,0.58,SRR6316233_NODE_4_length_3596_cov_134.751483,bot90
8980.96,0.58,SRR6316233_NODE_4_length_3596_cov_134.751483,bot90
28102.34,0.57,SRR6316233_NODE_4_length_3596_cov_134.751483,bot90
24653.45,0.56,SRR6316233_NODE_4_length_3596_cov_134.751483,bot90
9079.83,0.55,SRR6316233_NODE_4_length_3596_cov_134.751483,bot90
18085.97,0.55,SRR6316233_NODE_4_length_3596_cov_134.751483,bot90
26061.58,0.55,SRR6316233_NODE_4_length_3596_cov_134.751483,bot90
24462.03,0.54,SRR6316233_NODE_4_length_3596_cov_134.751483,bot90
24250.9,0.53,SRR6316233_NODE_4_length_3596_cov_134.751483,bot90
21040.8,0.53,SRR6316233_NODE_4_length_3596_cov_134.751483,bot90
25935.07,0.52,SRR6316233_NODE_4_length_3596_cov_134.751483,bot90
25472.03,0.51,SRR6316233_NODE_4_length_3596_cov_134.751483,bot90
29024.67,0.5,SRR6316233_NODE_4_length_3596_cov_134.751483,bot90
6906.85,0.5,SRR6316233_NODE_4_length_3596_cov_134.751483,bot90
10835.94,0.5,SRR6316233_NODE_4_length_3596_cov_134.751483,bot90
7833.18,0.49,SRR6316233_NODE_4_length_3596_cov_134.751483,bot90
28841.66,0.48,SRR6316233_NODE_4_length_3596_cov_134.751483,bot90
25748.62,0.48,SRR6316233_NODE_4_length_3596_cov_134.751483,bot90
13276.03,0.48,SRR6316233_NODE_4_length_3596_cov_134.751483,bot90
25557.4,0.48,SRR6316233_NODE_4_length_3596_cov_134.751483,bot90
25005.93,0.48,SRR6316233_NODE_4_length_3596_cov_134.751483,bot90
30101.36,0.48,SRR6316233_NODE_4_length_3596_cov_134.751483,bot90
14312.04,0.48,SRR6316233_NODE_4_length_3596_cov_134.751483,bot90
10554.93,0.48,SRR6316233_NODE_4_length_3596_cov_134.751483,bot90
11591.98,0.47,SRR6316233_NODE_4_length_3596_cov_134.751483,bot90
11519.99,0.47,SRR6316233_NODE_4_length_3596_cov_134.751483,bot90
23308.48,0.47,SRR6316233_NODE_4_length_3596_cov_134.751483,bot90
8175.02,0.47,SRR6316233_NODE_4_length_3596_cov_134.751483,bot90
23600.19,0.47,SRR6316233_NODE_4_length_3596_cov_134.751483,bot90
22644.89,0.46,SRR6316233_NODE_4_length_3596_cov_134.751483,bot90
23221.77,0.45,SRR6316233_NODE_4_length_3596_cov_134.751483,bot90
10036.22,0.44,SRR6316233_NODE_4_length_3596_cov_134.751483,bot90
27393.99,0.44,SRR6316233_NODE_4_length_3596_cov_134.751483,bot90
19338.01,0.44,SRR6316233_NODE_4_length_3596_cov_134.751483,bot90
7313.14,0.43,SRR6316233_NODE_4_length_3596_cov_134.751483,bot90
20865.87,0.43,SRR6316233_NODE_4_length_3596_cov_134.751483,bot90
30375.0,0.43,SRR6316233_NODE_4_length_3596_cov_134.751483,bot90
24641.02,0.43,SRR6316233_NODE_4_length_3596_cov_134.751483,bot90
13011.16,0.42,SRR6316233_NODE_4_length_3596_cov_134.751483,bot90
11904.11,0.42,SRR6316233_NODE_4_length_3596_cov_134.751483,bot90
11888.68,0.41,SRR6316233_NODE_4_length_3596_cov_134.751483,bot90
10699.31,0.41,SRR6316233_NODE_4_length_3596_cov_134.751483,bot90
13535.18,0.4,SRR6316233_NODE_4_length_3596_cov_134.751483,bot90
20913.28,0.4,SRR6316233_NODE_4_length_3596_cov_134.751483,bot90
15874.77,0.4,SRR6316233_NODE_4_length_3596_cov_134.751483,bot90
22355.64,0.39,SRR6316233_NODE_4_length_3596_cov_134.751483,bot90
17603.11,0.39,SRR6316233_NODE_4_length_3596_cov_134.751483,bot90
16570.89,0.38,SRR6316233_NODE_4_length_3596_cov_134.751483,bot90
16646.06,0.38,SRR6316233_NODE_4_length_3596_cov_134.751483,bot90
19496.42,0.38,SRR6316233_NODE_4_length_3596_cov_134.751483,bot90
28850.35,0.38,SRR6316233_NODE_4_length_3596_cov_134.751483,bot90
19873.81,0.38,SRR6316233_NODE_4_length_3596_cov_134.751483,bot90
21408.11,0.37,SRR6316233_NODE_4_length_3596_cov_134.751483,bot90
12365.43,0.37,SRR6316233_NODE_4_length_3596_cov_134.751483,bot90
28102.47,0.36,SRR6316233_NODE_4_length_3596_cov_134.751483,bot90
16570.03,0.35,SRR6316233_NODE_4_length_3596_cov_134.751483,bot90
16891.0,0.33,SRR6316233_NODE_4_length_3596_cov_134.751483,bot90
14579.62,0.31,SRR6316233_NODE_4_length_3596_cov_134.751483,bot90
1554.65,0.71,SRR2037085_NODE_4372_length_3153_cov_74.772111,top10
1034.12,0.69,SRR2037085_NODE_4372_length_3153_cov_74.772111,top10
911.67,0.69,SRR2037085_NODE_4372_length_3153_cov_74.772111,top10
1464.39,0.68,SRR2037085_NODE_4372_length_3153_cov_74.772111,top10
904.12,0.67,SRR2037085_NODE_4372_length_3153_cov_74.772111,top10
588.86,0.64,SRR2037085_NODE_4372_length_3153_cov_74.772111,top10
718.52,0.62,SRR2037085_NODE_4372_length_3153_cov_74.772111,bot90
1319.48,0.62,SRR2037085_NODE_4372_length_3153_cov_74.772111,bot90
1631.73,0.61,SRR2037085_NODE_4372_length_3153_cov_74.772111,bot90
1028.39,0.61,SRR2037085_NODE_4372_length_3153_cov_74.772111,bot90
1477.97,0.59,SRR2037085_NODE_4372_length_3153_cov_74.772111,bot90
989.37,0.56,SRR2037085_NODE_4372_length_3153_cov_74.772111,bot90
1041.65,0.55,SRR2037085_NODE_4372_length_3153_cov_74.772111,bot90
1457.31,0.55,SRR2037085_NODE_4372_length_3153_cov_74.772111,bot90
1680.02,0.54,SRR2037085_NODE_4372_length_3153_cov_74.772111,bot90
1928.97,0.54,SRR2037085_NODE_4372_length_3153_cov_74.772111,bot90
1188.52,0.54,SRR2037085_NODE_4372_length_3153_cov_74.772111,bot90
1189.22,0.54,SRR2037085_NODE_4372_length_3153_cov_74.772111,bot90
814.98,0.54,SRR2037085_NODE_4372_length_3153_cov_74.772111,bot90
1015.09,0.53,SRR2037085_NODE_4372_length_3153_cov_74.772111,bot90
1103.41,0.52,SRR2037085_NODE_4372_length_3153_cov_74.772111,bot90
1110.21,0.52,SRR2037085_NODE_4372_length_3153_cov_74.772111,bot90
1012.5,0.51,SRR2037085_NODE_4372_length_3153_cov_74.772111,bot90
1853.27,0.51,SRR2037085_NODE_4372_length_3153_cov_74.772111,bot90
944.98,0.51,SRR2037085_NODE_4372_length_3153_cov_74.772111,bot90
1521.82,0.51,SRR2037085_NODE_4372_length_3153_cov_74.772111,bot90
1482.76,0.5,SRR2037085_NODE_4372_length_3153_cov_74.772111,bot90
1521.18,0.5,SRR2037085_NODE_4372_length_3153_cov_74.772111,bot90
1274.46,0.5,SRR2037085_NODE_4372_length_3153_cov_74.772111,bot90
2014.88,0.5,SRR2037085_NODE_4372_length_3153_cov_74.772111,bot90
1408.52,0.49,SRR2037085_NODE_4372_length_3153_cov_74.772111,bot90
2174.09,0.49,SRR2037085_NODE_4372_length_3153_cov_74.772111,bot90
2138.72,0.49,SRR2037085_NODE_4372_length_3153_cov_74.772111,bot90
1378.11,0.48,SRR2037085_NODE_4372_length_3153_cov_74.772111,bot90
1398.98,0.48,SRR2037085_NODE_4372_length_3153_cov_74.772111,bot90
861.25,0.48,SRR2037085_NODE_4372_length_3153_cov_74.772111,bot90
1323.72,0.48,SRR2037085_NODE_4372_length_3153_cov_74.772111,bot90
1472.92,0.47,SRR2037085_NODE_4372_length_3153_cov_74.772111,bot90
1286.02,0.47,SRR2037085_NODE_4372_length_3153_cov_74.772111,bot90
1339.97,0.47,SRR2037085_NODE_4372_length_3153_cov_74.772111,bot90
1245.8,0.46,SRR2037085_NODE_4372_length_3153_cov_74.772111,bot90
193.93,0.46,SRR2037085_NODE_4372_length_3153_cov_74.772111,bot90
1207.05,0.46,SRR2037085_NODE_4372_length_3153_cov_74.772111,bot90
2063.98,0.46,SRR2037085_NODE_4372_length_3153_cov_74.772111,bot90
1142.27,0.45,SRR2037085_NODE_4372_length_3153_cov_74.772111,bot90
1014.94,0.45,SRR2037085_NODE_4372_length_3153_cov_74.772111,bot90
708.49,0.45,SRR2037085_NODE_4372_length_3153_cov_74.772111,bot90
294.27,0.45,SRR2037085_NODE_4372_length_3153_cov_74.772111,bot90
1310.66,0.44,SRR2037085_NODE_4372_length_3153_cov_74.772111,bot90
466.21,0.44,SRR2037085_NODE_4372_length_3153_cov_74.772111,bot90
1310.18,0.42,SRR2037085_NODE_4372_length_3153_cov_74.772111,bot90
1590.3,0.42,SRR2037085_NODE_4372_length_3153_cov_74.772111,bot90
1078.88,0.4,SRR2037085_NODE_4372_length_3153_cov_74.772111,bot90
1018.47,0.4,SRR2037085_NODE_4372_length_3153_cov_74.772111,bot90
986.99,0.4,SRR2037085_NODE_4372_length_3153_cov_74.772111,bot90
834.56,0.39,SRR2037085_NODE_4372_length_3153_cov_74.772111,bot90
1656.33,0.38,SRR2037085_NODE_4372_length_3153_cov_74.772111,bot90
993.08,0.38,SRR2037085_NODE_4372_length_3153_cov_74.772111,bot90
959.98,0.34,SRR2037085_NODE_4372_length_3153_cov_74.772111,bot90
1053.85,0.31,SRR2037085_NODE_4372_length_3153_cov_74.772111,bot90
954.51,0.31,SRR2037085_NODE_4372_length_3153_cov_74.772111,bot90
1021.21,0.29,SRR2037085_NODE_4372_length_3153_cov_74.772111,bot90
5444.4,0.87,SRR6316286_NODE_1_length_3840_cov_124.134478,top10
5891.26,0.75,SRR6316286_NODE_1_length_3840_cov_124.134478,top10
11056.2,0.73,SRR6316286_NODE_1_length_3840_cov_124.134478,top10
10551.89,0.7,SRR6316286_NODE_1_length_3840_cov_124.134478,top10
5178.83,0.68,SRR6316286_NODE_1_length_3840_cov_124.134478,top10
827.1,0.67,SRR6316286_NODE_1_length_3840_cov_124.134478,top10
6202.09,0.66,SRR6316286_NODE_1_length_3840_cov_124.134478,top10
355.52,0.65,SRR6316286_NODE_1_length_3840_cov_124.134478,top10
4279.71,0.64,SRR6316286_NODE_1_length_3840_cov_124.134478,bot90
660.55,0.63,SRR6316286_NODE_1_length_3840_cov_124.134478,bot90
10764.8,0.63,SRR6316286_NODE_1_length_3840_cov_124.134478,bot90
11881.72,0.63,SRR6316286_NODE_1_length_3840_cov_124.134478,bot90
6661.87,0.63,SRR6316286_NODE_1_length_3840_cov_124.134478,bot90
10009.94,0.59,SRR6316286_NODE_1_length_3840_cov_124.134478,bot90
7210.36,0.59,SRR6316286_NODE_1_length_3840_cov_124.134478,bot90
5700.87,0.59,SRR6316286_NODE_1_length_3840_cov_124.134478,bot90
4814.88,0.59,SRR6316286_NODE_1_length_3840_cov_124.134478,bot90
9019.91,0.58,SRR6316286_NODE_1_length_3840_cov_124.134478,bot90
11177.36,0.58,SRR6316286_NODE_1_length_3840_cov_124.134478,bot90
6821.49,0.58,SRR6316286_NODE_1_length_3840_cov_124.134478,bot90
11282.57,0.58,SRR6316286_NODE_1_length_3840_cov_124.134478,bot90
11421.74,0.57,SRR6316286_NODE_1_length_3840_cov_124.134478,bot90
8049.17,0.57,SRR6316286_NODE_1_length_3840_cov_124.134478,bot90
13816.99,0.57,SRR6316286_NODE_1_length_3840_cov_124.134478,bot90
13611.5,0.56,SRR6316286_NODE_1_length_3840_cov_124.134478,bot90
9524.21,0.56,SRR6316286_NODE_1_length_3840_cov_124.134478,bot90
12835.4,0.56,SRR6316286_NODE_1_length_3840_cov_124.134478,bot90
12807.82,0.55,SRR6316286_NODE_1_length_3840_cov_124.134478,bot90
14457.44,0.55,SRR6316286_NODE_1_length_3840_cov_124.134478,bot90
4980.49,0.55,SRR6316286_NODE_1_length_3840_cov_124.134478,bot90
1124.61,0.55,SRR6316286_NODE_1_length_3840_cov_124.134478,bot90
2596.48,0.54,SRR6316286_NODE_1_length_3840_cov_124.134478,bot90
13209.71,0.54,SRR6316286_NODE_1_length_3840_cov_124.134478,bot90
7556.95,0.54,SRR6316286_NODE_1_length_3840_cov_124.134478,bot90
5973.49,0.54,SRR6316286_NODE_1_length_3840_cov_124.134478,bot90
12734.66,0.53,SRR6316286_NODE_1_length_3840_cov_124.134478,bot90
6575.74,0.53,SRR6316286_NODE_1_length_3840_cov_124.134478,bot90
8992.6,0.53,SRR6316286_NODE_1_length_3840_cov_124.134478,bot90
3327.97,0.53,SRR6316286_NODE_1_length_3840_cov_124.134478,bot90
3166.43,0.52,SRR6316286_NODE_1_length_3840_cov_124.134478,bot90
2025.13,0.52,SRR6316286_NODE_1_length_3840_cov_124.134478,bot90
12654.2,0.51,SRR6316286_NODE_1_length_3840_cov_124.134478,bot90
12828.63,0.51,SRR6316286_NODE_1_length_3840_cov_124.134478,bot90
10425.18,0.5,SRR6316286_NODE_1_length_3840_cov_124.134478,bot90
5222.2,0.5,SRR6316286_NODE_1_length_3840_cov_124.134478,bot90
7037.85,0.49,SRR6316286_NODE_1_length_3840_cov_124.134478,bot90
11744.36,0.49,SRR6316286_NODE_1_length_3840_cov_124.134478,bot90
13690.54,0.49,SRR6316286_NODE_1_length_3840_cov_124.134478,bot90
4756.01,0.48,SRR6316286_NODE_1_length_3840_cov_124.134478,bot90
4585.38,0.48,SRR6316286_NODE_1_length_3840_cov_124.134478,bot90
5601.94,0.48,SRR6316286_NODE_1_length_3840_cov_124.134478,bot90
12910.84,0.48,SRR6316286_NODE_1_length_3840_cov_124.134478,bot90
13539.84,0.48,SRR6316286_NODE_1_length_3840_cov_124.134478,bot90
12411.84,0.48,SRR6316286_NODE_1_length_3840_cov_124.134478,bot90
13452.84,0.48,SRR6316286_NODE_1_length_3840_cov_124.134478,bot90
11479.69,0.48,SRR6316286_NODE_1_length_3840_cov_124.134478,bot90
3705.21,0.47,SRR6316286_NODE_1_length_3840_cov_124.134478,bot90
11835.83,0.47,SRR6316286_NODE_1_length_3840_cov_124.134478,bot90
5116.05,0.47,SRR6316286_NODE_1_length_3840_cov_124.134478,bot90
11150.69,0.47,SRR6316286_NODE_1_length_3840_cov_124.134478,bot90
1569.62,0.47,SRR6316286_NODE_1_length_3840_cov_124.134478,bot90
3309.75,0.47,SRR6316286_NODE_1_length_3840_cov_124.134478,bot90
4853.96,0.47,SRR6316286_NODE_1_length_3840_cov_124.134478,bot90
5064.55,0.46,SRR6316286_NODE_1_length_3840_cov_124.134478,bot90
9242.8,0.45,SRR6316286_NODE_1_length_3840_cov_124.134478,bot90
10072.78,0.44,SRR6316286_NODE_1_length_3840_cov_124.134478,bot90
13595.26,0.44,SRR6316286_NODE_1_length_3840_cov_124.134478,bot90
8334.55,0.43,SRR6316286_NODE_1_length_3840_cov_124.134478,bot90
8256.64,0.39,SRR6316286_NODE_1_length_3840_cov_124.134478,bot90
9035.22,0.37,SRR6316286_NODE_1_length_3840_cov_124.134478,bot90
8851.26,0.36,SRR6316286_NODE_1_length_3840_cov_124.134478,bot90
7792.63,0.36,SRR6316286_NODE_1_length_3840_cov_124.134478,bot90
6245.71,0.34,SRR6316286_NODE_1_length_3840_cov_124.134478,bot90
8202.1,0.34,SRR6316286_NODE_1_length_3840_cov_124.134478,bot90
8205.52,0.31,SRR6316286_NODE_1_length_3840_cov_124.134478,bot90
524.83,0.64,SRR2037085_NODE_5809_length_2676_cov_78.545975,top10
