ContigID,ContigLength,LogProbability,PredictionResult,ReferenceAcc,ReferenceLength,MostProbablyVirusName
SRR6316233_NODE_33_length_2339_cov_4.519264,2339,83.4%,Partial,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR6316277_NODE_1_length_3761_cov_75.427955,3761,100.1%,Full-length,NC_014075.1,3759,"Torque teno virus 12, complete genome"
SRR6316277_NODE_2_length_3643_cov_115.733835,3643,97.5%,Partial,NC_014080.1,3736,"Torque teno virus 7, complete genome"
SRR6316277_NODE_3_length_3531_cov_85.521001,3531,93.9%,Partial,NC_014075.1,3759,"Torque teno virus 12, complete genome"
SRR6316277_NODE_4_length_2985_cov_16.530034,2985,79.9%,Partial,NC_014080.1,3736,"Torque teno virus 7, complete genome"
SRR6316316_NODE_1_length_3749_cov_84.051976,3749,100.3%,Full-length,NC_014080.1,3736,"Torque teno virus 7, complete genome"
SRR6316316_NODE_3_length_3631_cov_53.841163,3631,129.5%,Full-length,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR6316316_NODE_4_length_3598_cov_81.765171,3598,95.7%,Partial,NC_014075.1,3759,"Torque teno virus 12, complete genome"
SRR6316316_NODE_6_length_3358_cov_18.316379,3358,130.8%,Full-length,NC_030650.1,2568,"Gorilla anellovirus isolate GorF ORF2 and ORF1 genes, complete cds; and nonfunctional ORF3 gene, complete sequence"
SRR6316316_NODE_7_length_3332_cov_21.225511,3332,129.8%,Full-length,NC_030650.1,2568,"Gorilla anellovirus isolate GorF ORF2 and ORF1 genes, complete cds; and nonfunctional ORF3 gene, complete sequence"
SRR6316316_NODE_10_length_3053_cov_16.411941,3053,81.2%,Partial,NC_014075.1,3759,"Torque teno virus 12, complete genome"
SRR6316316_NODE_12_length_3044_cov_64.730679,3044,108.6%,Full-length,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR6316316_NODE_14_length_2929_cov_78.486430,2929,77.9%,Partial,NC_014075.1,3759,"Torque teno virus 12, complete genome"
SRR6316316_NODE_15_length_2904_cov_74.380835,2904,80.2%,Partial,NC_026765.1,3621,"Simian torque teno virus 34 isolate VGA00120.1, complete genome"
SRR6316316_NODE_16_length_2903_cov_28.289677,2903,80.0%,Partial,NC_014073.1,3629,"Torque teno virus 28, complete genome"
SRR6316316_NODE_18_length_2764_cov_72.897010,2764,73.5%,Partial,NC_014075.1,3759,"Torque teno virus 12, complete genome"
SRR6316316_NODE_19_length_2575_cov_5.503175,2575,91.9%,Partial,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR6316298_NODE_1_length_3764_cov_87.681046,3764,100.1%,Full-length,NC_014075.1,3759,"Torque teno virus 12, complete genome"
SRR6316298_NODE_3_length_3596_cov_90.361197,3596,99.1%,Partial,NC_014073.1,3629,"Torque teno virus 28, complete genome"
SRR6316298_NODE_4_length_3566_cov_55.341213,3566,94.9%,Partial,NC_014075.1,3759,"Torque teno virus 12, complete genome"
SRR6316298_NODE_6_length_3473_cov_92.840257,3473,91.0%,Partial,NC_014091.1,3818,"Torque teno virus 16, complete genome"
SRR6316298_NODE_7_length_3327_cov_137.686736,3327,88.5%,Partial,NC_014075.1,3759,"Torque teno virus 12, complete genome"
SRR6316298_NODE_8_length_3223_cov_79.393308,3223,115.0%,Full-length,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR6316298_NODE_9_length_3215_cov_85.921203,3215,114.7%,Full-length,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR6316298_NODE_11_length_3105_cov_92.263934,3105,82.6%,Partial,NC_014075.1,3759,"Torque teno virus 12, complete genome"
SRR6316298_NODE_14_length_3064_cov_48.539050,3064,84.4%,Partial,NC_014073.1,3629,"Torque teno virus 28, complete genome"
SRR6316298_NODE_17_length_3010_cov_14.693063,3010,80.1%,Partial,NC_014075.1,3759,"Torque teno virus 12, complete genome"
SRR6316298_NODE_19_length_2905_cov_76.388070,2905,113.1%,Full-length,NC_030650.1,2568,"Gorilla anellovirus isolate GorF ORF2 and ORF1 genes, complete cds; and nonfunctional ORF3 gene, complete sequence"
SRR6316298_NODE_21_length_2730_cov_32.659439,2730,97.4%,Partial,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR6316298_NODE_22_length_2627_cov_6.158631,2627,93.7%,Partial,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR6316298_NODE_27_length_2366_cov_11.179576,2366,65.3%,Partial,NC_026765.1,3621,"Simian torque teno virus 34 isolate VGA00120.1, complete genome"
SRR6316298_NODE_29_length_2310_cov_5.159645,2310,71.0%,Partial,NC_014093.1,3253,"Torque teno midi virus 2, complete genome"
SRR6316298_NODE_31_length_2106_cov_140.925402,2106,56.4%,Partial,NC_014080.1,3736,"Torque teno virus 7, complete genome"
SRR6316302_NODE_1_length_3757_cov_123.131821,3757,99.9%,Partial,NC_014075.1,3759,"Torque teno virus 12, complete genome"
SRR6316302_NODE_2_length_3616_cov_58.813255,3616,96.8%,Partial,NC_014080.1,3736,"Torque teno virus 7, complete genome"
SRR6316302_NODE_9_length_2881_cov_113.946921,2881,102.8%,Full-length,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR6316202_NODE_17_length_2692_cov_7.566932,2692,96.0%,Partial,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR6316205_NODE_1_length_3699_cov_20.928375,3699,98.4%,Partial,NC_014075.1,3759,"Torque teno virus 12, complete genome"
SRR6316205_NODE_2_length_3489_cov_18.894001,3489,96.1%,Partial,NC_014073.1,3629,"Torque teno virus 28, complete genome"
SRR6316205_NODE_3_length_3314_cov_97.177355,3314,102.5%,Full-length,NC_038340.1,3234,"Torque teno virus 20 ORF4, ORF3, ORF2, ORF1 genes, complete cds, clone: SAa-10"
SRR6316205_NODE_4_length_3072_cov_82.166722,3072,81.7%,Partial,NC_014075.1,3759,"Torque teno virus 12, complete genome"
SRR6316261_NODE_1_length_3767_cov_158.248384,3767,100.8%,Full-length,NC_014080.1,3736,"Torque teno virus 7, complete genome"
SRR6316226_NODE_1_length_3629_cov_81.526021,3629,96.5%,Partial,NC_014075.1,3759,"Torque teno virus 12, complete genome"
SRR6316226_NODE_2_length_3554_cov_122.478422,3554,94.5%,Partial,NC_014075.1,3759,"Torque teno virus 12, complete genome"
SRR6316226_NODE_4_length_3523_cov_83.544983,3523,93.7%,Partial,NC_014075.1,3759,"Torque teno virus 12, complete genome"
SRR6316226_NODE_7_length_3067_cov_28.642098,3067,81.6%,Partial,NC_014075.1,3759,"Torque teno virus 12, complete genome"
SRR6316226_NODE_8_length_3000_cov_6.828183,3000,107.0%,Full-length,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR6316226_NODE_9_length_2979_cov_24.712722,2979,79.2%,Partial,NC_014075.1,3759,"Torque teno virus 12, complete genome"
SRR6316308_NODE_1_length_3653_cov_92.742079,3653,97.8%,Partial,NC_014080.1,3736,"Torque teno virus 7, complete genome"
SRR6316308_NODE_2_length_3557_cov_124.210737,3557,94.6%,Partial,NC_014075.1,3759,"Torque teno virus 12, complete genome"
SRR6316308_NODE_5_length_3222_cov_122.773919,3222,89.0%,Partial,NC_026765.1,3621,"Simian torque teno virus 34 isolate VGA00120.1, complete genome"
SRR6316308_NODE_6_length_3218_cov_130.627885,3218,99.2%,Partial,NC_009225.1,3245,"Torque teno midi virus 1, complete genome"
SRR6316308_NODE_7_length_3193_cov_88.040472,3193,85.5%,Partial,NC_014080.1,3736,"Torque teno virus 7, complete genome"
SRR6316308_NODE_9_length_3148_cov_65.976398,3148,112.3%,Full-length,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR6316308_NODE_12_length_2925_cov_12.175610,2925,76.6%,Partial,NC_014091.1,3818,"Torque teno virus 16, complete genome"
SRR6316308_NODE_13_length_2807_cov_91.059230,2807,100.1%,Full-length,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR6316308_NODE_17_length_2380_cov_89.604731,2380,63.1%,Partial,NC_026764.1,3774,"Simian torque teno virus 33 isolate VWP00522.11, complete genome"
SRR6316272_NODE_3_length_2950_cov_12.740933,2950,105.2%,Full-length,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR6316272_NODE_5_length_2482_cov_4.211372,2482,76.3%,Partial,NC_014093.1,3253,"Torque teno midi virus 2, complete genome"
SRR6316317_NODE_3_length_3825_cov_90.031034,3825,101.8%,Full-length,NC_014075.1,3759,"Torque teno virus 12, complete genome"
SRR6316317_NODE_5_length_3189_cov_11.621570,3189,84.8%,Partial,NC_014075.1,3759,"Torque teno virus 12, complete genome"
SRR6316237_NODE_63_length_3686_cov_12.247039,3686,101.8%,Full-length,NC_026765.1,3621,"Simian torque teno virus 34 isolate VGA00120.1, complete genome"
SRR6316295_NODE_1_length_3576_cov_5.533939,3576,94.8%,Partial,NC_026764.1,3774,"Simian torque teno virus 33 isolate VWP00522.11, complete genome"
SRR8862009_NODE_2_length_3775_cov_107.229301,3775,104.3%,Full-length,NC_026765.1,3621,"Simian torque teno virus 34 isolate VGA00120.1, complete genome"
SRR8862009_NODE_6_length_2966_cov_12.666438,2966,81.9%,Partial,NC_026765.1,3621,"Simian torque teno virus 34 isolate VGA00120.1, complete genome"
SRR8862009_NODE_9_length_2556_cov_29.868053,2556,78.6%,Partial,NC_014093.1,3253,"Torque teno midi virus 2, complete genome"
SRR8862009_NODE_10_length_2525_cov_84.988259,2525,77.6%,Partial,NC_014093.1,3253,"Torque teno midi virus 2, complete genome"
SRR8862007_NODE_5_length_3884_cov_90.948028,3884,104.0%,Full-length,NC_014080.1,3736,"Torque teno virus 7, complete genome"
SRR8862005_NODE_3_length_3338_cov_112.238197,3338,119.1%,Full-length,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR8862005_NODE_4_length_3312_cov_81.971446,3312,91.3%,Partial,NC_014073.1,3629,"Torque teno virus 28, complete genome"
SRR8862005_NODE_6_length_3030_cov_102.486723,3030,80.6%,Partial,NC_014075.1,3759,"Torque teno virus 12, complete genome"
SRR2037084_NODE_684_length_2958_cov_77.548054,2958,78.7%,Partial,NC_014075.1,3759,"Torque teno virus 12, complete genome"
SRR2037084_NODE_714_length_2902_cov_5.810678,2902,99.6%,Partial,NC_025726.1,2914,"Torque teno mini virus ALA22, complete genome"
SRR2037084_NODE_720_length_2896_cov_67.324182,2896,76.7%,Partial,NC_026764.1,3774,"Simian torque teno virus 33 isolate VWP00522.11, complete genome"
SRR2037084_NODE_721_length_2893_cov_75.319239,2893,79.9%,Partial,NC_026765.1,3621,"Simian torque teno virus 34 isolate VGA00120.1, complete genome"
SRR2037084_NODE_726_length_2882_cov_74.765122,2882,102.8%,Full-length,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR2037084_NODE_760_length_2822_cov_75.136249,2822,100.7%,Full-length,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR2037084_NODE_826_length_2622_cov_40.921698,2622,80.6%,Partial,NC_014093.1,3253,"Torque teno midi virus 2, complete genome"
SRR2037084_NODE_833_length_2603_cov_18.278650,2603,80.0%,Partial,NC_014093.1,3253,"Torque teno midi virus 2, complete genome"
SRR2037084_NODE_873_length_2515_cov_43.490650,2515,77.3%,Partial,NC_014093.1,3253,"Torque teno midi virus 2, complete genome"
SRR2037084_NODE_875_length_2512_cov_26.241758,2512,77.2%,Partial,NC_014093.1,3253,"Torque teno midi virus 2, complete genome"
SRR2037084_NODE_890_length_2494_cov_78.579336,2494,76.7%,Partial,NC_014093.1,3253,"Torque teno midi virus 2, complete genome"
SRR2037084_NODE_910_length_2464_cov_11.052304,2464,87.9%,Partial,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR2037084_NODE_920_length_2451_cov_10.214107,2451,75.3%,Partial,NC_014093.1,3253,"Torque teno midi virus 2, complete genome"
SRR2037084_NODE_944_length_2415_cov_5.583475,2415,83.0%,Partial,NC_014089.1,2908,"Torque teno mini virus 5, complete genome"
SRR2037084_NODE_1055_length_2203_cov_98.026536,2203,78.6%,Partial,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR2037084_NODE_1162_length_2021_cov_28.110376,2021,53.6%,Partial,NC_026764.1,3774,"Simian torque teno virus 33 isolate VWP00522.11, complete genome"
SRR2037085_NODE_4266_length_3203_cov_53.845934,3203,84.9%,Partial,NC_026764.1,3774,"Simian torque teno virus 33 isolate VWP00522.11, complete genome"
SRR2037085_NODE_4372_length_3153_cov_74.772111,3153,112.5%,Full-length,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR2037085_NODE_4404_length_3141_cov_104.983150,3141,83.6%,Partial,NC_014075.1,3759,"Torque teno virus 12, complete genome"
SRR2037085_NODE_4434_length_3133_cov_69.104288,3133,86.5%,Partial,NC_026765.1,3621,"Simian torque teno virus 34 isolate VGA00120.1, complete genome"
SRR2037085_NODE_4450_length_3125_cov_64.572964,3125,86.3%,Partial,NC_026765.1,3621,"Simian torque teno virus 34 isolate VGA00120.1, complete genome"
SRR2037085_NODE_4565_length_3081_cov_144.719762,3081,94.6%,Partial,NC_038362.1,3257,"Torque teno midi virus 15 DNA, complete genome, isolate: Pt-TTMDV210"
SRR2037085_NODE_4574_length_3078_cov_86.622230,3078,81.9%,Partial,NC_014075.1,3759,"Torque teno virus 12, complete genome"
SRR2037085_NODE_4606_length_3064_cov_77.464939,3064,80.3%,Partial,NC_014091.1,3818,"Torque teno virus 16, complete genome"
SRR2037085_NODE_4619_length_3059_cov_78.301931,3059,119.1%,Full-length,NC_030650.1,2568,"Gorilla anellovirus isolate GorF ORF2 and ORF1 genes, complete cds; and nonfunctional ORF3 gene, complete sequence"
SRR2037085_NODE_4624_length_3058_cov_145.812521,3058,81.0%,Partial,NC_026764.1,3774,"Simian torque teno virus 33 isolate VWP00522.11, complete genome"
SRR2037085_NODE_4750_length_3013_cov_111.043272,3013,80.2%,Partial,NC_014075.1,3759,"Torque teno virus 12, complete genome"
SRR2037085_NODE_4845_length_2980_cov_66.532650,2980,106.3%,Full-length,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR2037085_NODE_4897_length_2962_cov_124.964912,2962,78.8%,Partial,NC_014075.1,3759,"Torque teno virus 12, complete genome"
SRR2037085_NODE_4916_length_2957_cov_69.987595,2957,105.5%,Full-length,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR2037085_NODE_5010_length_2919_cov_41.754888,2919,91.4%,Partial,NC_038338.1,3193,"Torque teno virus 11 isolate TCHN-D1 Orf2 and Orf1 genes, complete cds"
SRR2037085_NODE_5014_length_2918_cov_219.003842,2918,77.6%,Partial,NC_014075.1,3759,"Torque teno virus 12, complete genome"
SRR2037085_NODE_5033_length_2911_cov_17.017157,2911,103.9%,Full-length,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR2037085_NODE_5063_length_2900_cov_80.914236,2900,77.1%,Partial,NC_014075.1,3759,"Torque teno virus 12, complete genome"
SRR2037085_NODE_5068_length_2899_cov_48.067862,2899,104.1%,Full-length,NC_014090.1,2785,"Torque teno mini virus 4, complete genome"
SRR2037085_NODE_5080_length_2895_cov_107.613380,2895,103.3%,Full-length,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR2037085_NODE_5108_length_2888_cov_141.575362,2888,76.8%,Partial,NC_014075.1,3759,"Torque teno virus 12, complete genome"
SRR2037085_NODE_5200_length_2857_cov_38.860457,2857,98.2%,Partial,NC_014089.1,2908,"Torque teno mini virus 5, complete genome"
SRR2037085_NODE_5212_length_2855_cov_8.978571,2855,101.9%,Full-length,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR2037085_NODE_5225_length_2850_cov_28.680501,2850,101.7%,Full-length,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR2037085_NODE_5233_length_2847_cov_86.829155,2847,74.6%,Partial,NC_014091.1,3818,"Torque teno virus 16, complete genome"
SRR2037085_NODE_5249_length_2843_cov_18.285868,2843,74.5%,Partial,NC_014091.1,3818,"Torque teno virus 16, complete genome"
SRR2037085_NODE_5287_length_2832_cov_109.884768,2832,75.3%,Partial,NC_014075.1,3759,"Torque teno virus 12, complete genome"
SRR2037085_NODE_5288_length_2832_cov_29.197695,2832,75.3%,Partial,NC_014075.1,3759,"Torque teno virus 12, complete genome"
SRR2037085_NODE_5332_length_2820_cov_10.998192,2820,100.6%,Full-length,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR2037085_NODE_5339_length_2819_cov_15.157019,2819,100.6%,Full-length,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR2037085_NODE_5358_length_2813_cov_5.227339,2813,109.5%,Full-length,NC_030650.1,2568,"Gorilla anellovirus isolate GorF ORF2 and ORF1 genes, complete cds; and nonfunctional ORF3 gene, complete sequence"
SRR2037085_NODE_5387_length_2804_cov_5.351401,2804,109.2%,Full-length,NC_030650.1,2568,"Gorilla anellovirus isolate GorF ORF2 and ORF1 genes, complete cds; and nonfunctional ORF3 gene, complete sequence"
SRR2037085_NODE_5390_length_2801_cov_51.262564,2801,99.9%,Partial,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR2037085_NODE_5400_length_2799_cov_8.270773,2799,99.9%,Partial,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR2037085_NODE_5412_length_2796_cov_21.256111,2796,99.8%,Partial,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR2037085_NODE_5420_length_2795_cov_8.737956,2795,99.7%,Partial,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR2037085_NODE_5455_length_2784_cov_8.034445,2784,95.6%,Partial,NC_038347.1,2912,"Torque teno mini virus 12 isolate LIL-y3 ORF2, ORF1, ORF3, and ORF4 genes, complete cds"
SRR2037085_NODE_5468_length_2777_cov_115.985305,2777,74.3%,Partial,NC_014080.1,3736,"Torque teno virus 7, complete genome"
SRR2037085_NODE_5488_length_2772_cov_12.227825,2772,95.2%,Partial,NC_038347.1,2912,"Torque teno mini virus 12 isolate LIL-y3 ORF2, ORF1, ORF3, and ORF4 genes, complete cds"
SRR2037085_NODE_5501_length_2767_cov_9.144174,2767,95.0%,Partial,NC_038347.1,2912,"Torque teno mini virus 12 isolate LIL-y3 ORF2, ORF1, ORF3, and ORF4 genes, complete cds"
SRR2037085_NODE_5570_length_2749_cov_32.576837,2749,73.1%,Partial,NC_014075.1,3759,"Torque teno virus 12, complete genome"
SRR2037085_NODE_5670_length_2718_cov_4.489673,2718,94.7%,Partial,NC_038346.1,2871,"Torque teno mini virus 11 isolate LIL-y2 ORF2, ORF1, and ORF3 genes, complete cds"
SRR2037085_NODE_5740_length_2697_cov_3.995836,2697,74.5%,Partial,NC_026765.1,3621,"Simian torque teno virus 34 isolate VGA00120.1, complete genome"
SRR2037085_NODE_5802_length_2678_cov_156.373618,2678,71.2%,Partial,NC_014075.1,3759,"Torque teno virus 12, complete genome"
SRR2037085_NODE_5809_length_2676_cov_78.545975,2676,91.9%,Partial,NC_038347.1,2912,"Torque teno mini virus 12 isolate LIL-y3 ORF2, ORF1, ORF3, and ORF4 genes, complete cds"
SRR2037085_NODE_5919_length_2647_cov_3.398534,2647,83.1%,Partial,NC_038359.1,3187,"Torque teno midi virus 12 DNA, complete genome, isolate: MDJN51"
SRR2037085_NODE_5950_length_2639_cov_9.782508,2639,102.8%,Full-length,NC_030650.1,2568,"Gorilla anellovirus isolate GorF ORF2 and ORF1 genes, complete cds; and nonfunctional ORF3 gene, complete sequence"
SRR2037085_NODE_5966_length_2634_cov_5.871656,2634,94.0%,Partial,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR2037085_NODE_5981_length_2629_cov_6.550117,2629,91.6%,Partial,NC_038346.1,2871,"Torque teno mini virus 11 isolate LIL-y2 ORF2, ORF1, and ORF3 genes, complete cds"
SRR2037085_NODE_6009_length_2623_cov_5.651480,2623,93.6%,Partial,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR2037085_NODE_6060_length_2606_cov_15.236378,2606,68.4%,Partial,NC_014078.1,3808,"Torque teno virus 19, complete genome"
SRR2037085_NODE_6061_length_2606_cov_9.881615,2606,93.0%,Partial,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR2037085_NODE_6154_length_2575_cov_86.354365,2575,93.1%,Partial,NC_014086.1,2765,"Torque teno mini virus 2, complete genome"
SRR2037085_NODE_6189_length_2566_cov_89.560733,2566,78.9%,Partial,NC_014093.1,3253,"Torque teno midi virus 2, complete genome"
SRR2037085_NODE_6234_length_2557_cov_13.670264,2557,87.8%,Partial,NC_038347.1,2912,"Torque teno mini virus 12 isolate LIL-y3 ORF2, ORF1, ORF3, and ORF4 genes, complete cds"
SRR2037085_NODE_6307_length_2539_cov_20.448068,2539,91.2%,Partial,NC_014090.1,2785,"Torque teno mini virus 4, complete genome"
SRR2037085_NODE_6325_length_2533_cov_82.897094,2533,77.9%,Partial,NC_014093.1,3253,"Torque teno midi virus 2, complete genome"
SRR2037085_NODE_6329_length_2533_cov_9.817595,2533,90.4%,Partial,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR2037085_NODE_6331_length_2533_cov_4.297821,2533,69.8%,Partial,NC_014073.1,3629,"Torque teno virus 28, complete genome"
SRR2037085_NODE_6346_length_2528_cov_28.750910,2528,77.7%,Partial,NC_014093.1,3253,"Torque teno midi virus 2, complete genome"
SRR2037085_NODE_6375_length_2522_cov_87.752736,2522,77.5%,Partial,NC_014093.1,3253,"Torque teno midi virus 2, complete genome"
SRR2037085_NODE_6378_length_2522_cov_17.251723,2522,86.5%,Partial,NC_025726.1,2914,"Torque teno mini virus ALA22, complete genome"
SRR2037085_NODE_6389_length_2518_cov_60.569631,2518,77.4%,Partial,NC_014093.1,3253,"Torque teno midi virus 2, complete genome"
SRR2037085_NODE_6414_length_2511_cov_8.802932,2511,86.2%,Partial,NC_025726.1,2914,"Torque teno mini virus ALA22, complete genome"
SRR2037085_NODE_6425_length_2509_cov_136.266096,2509,89.5%,Partial,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR2037085_NODE_6428_length_2509_cov_50.580277,2509,86.3%,Partial,NC_014089.1,2908,"Torque teno mini virus 5, complete genome"
SRR2037085_NODE_6436_length_2508_cov_5.874847,2508,89.5%,Partial,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR2037085_NODE_6441_length_2507_cov_22.535889,2507,77.1%,Partial,NC_014093.1,3253,"Torque teno midi virus 2, complete genome"
SRR2037085_NODE_6450_length_2505_cov_5.317143,2505,86.0%,Partial,NC_020498.1,2912,"TTV-like mini virus isolate TTMV_LY1, complete genome"
SRR2037085_NODE_6473_length_2500_cov_23.070348,2500,76.9%,Partial,NC_014093.1,3253,"Torque teno midi virus 2, complete genome"
SRR2037085_NODE_6479_length_2498_cov_67.277118,2498,76.8%,Partial,NC_014093.1,3253,"Torque teno midi virus 2, complete genome"
SRR2037085_NODE_6480_length_2498_cov_16.431437,2498,76.8%,Partial,NC_014093.1,3253,"Torque teno midi virus 2, complete genome"
SRR2037085_NODE_6491_length_2496_cov_30.374027,2496,76.7%,Partial,NC_014093.1,3253,"Torque teno midi virus 2, complete genome"
